Time[s],Wavelength [nm],Voltage [V]
3726672451.2865848500,760.5937500000,0.1164994000
3726672452.1678400000,760.6875000000,0.1151851000
3726672453.0544161800,760.8125000000,0.1170477000
3726672453.9391489000,760.9062500000,0.1131867000
3726672454.8210272800,761.0000000000,0.1175297000
3726672455.7022256800,761.0937500000,0.1189093000
3726672456.5893602400,761.1875000000,0.1195812000
3726672457.4742960900,761.3125000000,0.1150953000
3726672458.3557930000,761.4062500000,0.1178463000
3726672459.2348895100,761.5000000000,0.1187898000
3726672460.1208686800,761.5937500000,0.1162155000
3726672461.0007767700,761.6875000000,0.1162951000
3726672461.8809104000,761.8125000000,0.1192279000
3726672462.7660217300,761.9062500000,0.1177850000
3726672463.6468286500,762.0000000000,0.1144090000
3726672464.5294337300,762.0937500000,0.1142028000
3726672465.4142255800,762.1875000000,0.1163258000
3726672466.3002362200,762.3125000000,0.1172438000
3726672467.1862001400,762.4062500000,0.1150810000
3726672468.0725951200,762.5000000000,0.1182425000
3726672468.9531946200,762.5937500000,0.1153066000
3726672469.8315086400,762.6875000000,0.1140047000
3726672470.7150797800,762.8125000000,0.1150585000
3726672471.5955390900,762.9062500000,0.1148951000
3726672472.4797406200,763.0000000000,0.1168363000
3726672473.3590512300,763.0937500000,0.1120736000
3726672474.2466430700,763.1875000000,0.1185223000
3726672475.1317296000,763.3125000000,0.1139250000
3726672476.0115208600,763.4062500000,0.1151402000
3726672476.8914513600,763.5000000000,0.1176645000
3726672477.7746410400,763.5937500000,0.1152648000
3726672478.6613745700,763.6875000000,0.1160194000
3726672479.5448288900,763.8125000000,0.1150320000
3726672480.4276990900,763.9062500000,0.1161032000
3726672481.3095078500,764.0000000000,0.1149993000
3726672482.1866173700,764.0937500000,0.1168486000
3726672483.0782656700,764.1875000000,0.1168527000
3726672483.9630608500,764.3125000000,0.1142702000
3726672484.8427143100,764.4062500000,0.1145112000
3726672485.7262544600,764.5000000000,0.1171070000
3726672486.6122727400,764.5937500000,0.1139618000
3726672487.4926710100,764.6875000000,0.1167751000
3726672488.3753719300,764.8125000000,0.1148379000
3726672489.2545681000,764.9062500000,0.1163952000
3726672490.1377062800,765.0000000000,0.1143437000
3726672491.0157790200,765.0937500000,0.1136697000
3726672491.8993616100,765.1875000000,0.1159377000
3726672492.7861290000,765.3125000000,0.1173908000
3726672493.6726989700,765.4062500000,0.1193443000
3726672494.5517249100,765.5000000000,0.1169671000
3726672495.4330415700,765.5937500000,0.1161032000
3726672496.3157439200,765.6875000000,0.1180668000
3726672497.2026162100,765.8125000000,0.1174480000
3726672498.0865817100,765.9062500000,0.1162216000
3726672498.9703202200,766.0000000000,0.1158009000
3726672499.8561382300,766.0937500000,0.1175379000
3726672500.7393965700,766.1875000000,0.1167301000
3726672501.6193399400,766.3125000000,0.1175930000
3726672502.5004057900,766.4062500000,0.1123453000
3726672503.3831248300,766.5000000000,0.1152627000
3726672504.2667703600,766.5937500000,0.1162032000
3726672505.1511640500,766.6875000000,0.1144560000
3726672506.0277967400,766.8125000000,0.1152107000
3726672506.9139905000,766.9062500000,0.1140087000
3726672507.7961726200,767.0000000000,0.1190952000
3726672508.6761693900,767.0937500000,0.1158091000
3726672509.5615263000,767.1875000000,0.1156252000
3726672510.4376850100,767.3125000000,0.1143192000
3726672511.3215184200,767.4062500000,0.1151198000
3726672512.2041168200,767.5000000000,0.1154659000
3726672513.0912637700,767.5937500000,0.1170927000
3726672513.9738431000,767.6875000000,0.1147583000
3726672514.8548359900,767.8125000000,0.1131826000
3726672515.7364120500,767.9062500000,0.1121594000
3726672516.6193351700,768.0000000000,0.1177830000
3726672517.4981198300,768.0937500000,0.1142620000
3726672518.3861608500,768.1875000000,0.1155987000
3726672519.2630119300,768.3125000000,0.1137882000
3726672520.1438345900,768.4062500000,0.1158969000
3726672521.0245647400,768.5000000000,0.1141844000
3726672521.9060769100,768.5937500000,0.1132684000
3726672522.7915983200,768.6875000000,0.1157641000
3726672523.6760110800,768.8125000000,0.1160480000
3726672524.5588951100,768.9062500000,0.1166668000
3726672525.4394593200,769.0000000000,0.1157172000
3726672526.3211441000,769.0937500000,0.1167444000
3726672527.1994080500,769.1875000000,0.1128640000
3726672528.0860285700,769.3125000000,0.1171784000
3726672528.9710545500,769.4062500000,0.1184794000
3726672529.8545880300,769.5000000000,0.1143212000
3726672530.7366471300,769.5937500000,0.1148645000
