X-Axis_A (relative inverse cm), sample_A_spectrum (CCD counts), X-Axis_B (relative inverse cm), sample_B_spectrum (CCD counts), X-Axis_C (relative inverse cm),sample_C_spectrum (CCD counts)
 5.12449E+02, 1.57670E+03, 5.12449E+02, 1.74810E+03, 5.12449E+02, 3.52770E+03
 5.15236E+02, 1.57630E+03, 5.15236E+02, 1.83080E+03, 5.15236E+02, 5.65980E+03
 5.18022E+02, 1.58060E+03, 5.18022E+02, 2.10100E+03, 5.18022E+02, 1.04966E+04
 5.20807E+02, 1.58150E+03, 5.20807E+02, 2.55200E+03, 5.20807E+02, 1.68255E+04
 5.23591E+02, 1.58410E+03, 5.23591E+02, 2.68530E+03, 5.23591E+02, 1.79258E+04
 5.26374E+02, 1.58240E+03, 5.26374E+02, 2.25130E+03, 5.26374E+02, 1.22250E+04
 5.29156E+02, 1.57820E+03, 5.29156E+02, 1.89810E+03, 5.29156E+02, 6.94980E+03
 5.31937E+02, 1.57830E+03, 5.31937E+02, 1.76310E+03, 5.31937E+02, 4.39540E+03
 5.34717E+02, 1.57650E+03, 5.34717E+02, 1.70990E+03, 5.34717E+02, 3.39140E+03
 5.37496E+02, 1.57800E+03, 5.37496E+02, 1.70030E+03, 5.37496E+02, 2.85500E+03
 5.40275E+02, 1.57610E+03, 5.40275E+02, 1.68350E+03, 5.40275E+02, 2.55820E+03
 5.43052E+02, 1.57600E+03, 5.43052E+02, 1.66700E+03, 5.43052E+02, 2.38010E+03
 5.45828E+02, 1.57760E+03, 5.45828E+02, 1.66810E+03, 5.45828E+02, 2.25630E+03
 5.48604E+02, 1.57950E+03, 5.48604E+02, 1.66680E+03, 5.48604E+02, 2.15470E+03
 5.51378E+02, 1.57890E+03, 5.51378E+02, 1.66540E+03, 5.51378E+02, 2.06880E+03
 5.54152E+02, 1.57970E+03, 5.54152E+02, 1.66770E+03, 5.54152E+02, 2.00940E+03
