Particle 1 x (Å), Particle 1 y (Å), Particle 1 z (Å), Particle 2 x (Å), Particle 2 y (Å), Particle 2 z (Å), Particle 3 x (Å), Particle 3 y (Å), Particle 3 z (Å)
-2.92831345, 11.74034406, -15.21956433, 12.07893186, 12.81709533, -9.53380749, 24.94446958, 2.79823629, 1.50842270
-2.94286406, 11.78316828, -15.24623660, 12.03668477, 12.87338029, -9.55612841, 24.91405570, 2.78586623, 1.57238164
-2.94648381, 11.82924289, -15.26551882, 11.99941244, 12.92206526, -9.55566601, 24.88552356, 2.78009979, 1.63998648
-2.93218896, 11.87910082, -15.27475645, 11.96333101, 12.95780136, -9.54316467, 24.86397652, 2.77564650, 1.70625433
-2.89558204, 11.92979988, -15.26824435, 11.93076451, 12.97765051, -9.52932388, 24.85308318, 2.76633776, 1.76819247
-2.83913681, 11.97770445, -15.23812929, 11.91193035, 12.97796258, -9.52696440, 24.85712257, 2.74823312, 1.82520800
-2.77073994, 12.02059903, -15.17677360, 11.92146869, 12.95629062, -9.54947923, 24.88206558, 2.71951060, 1.87896861
-2.69811395, 12.05873974, -15.08283160, 11.96156028, 12.91530067, -9.60348197, 24.93718552, 2.67954552, 1.92733484
-2.62716637, 12.09508997, -14.96649659, 12.01337587, 12.86299451, -9.68568590, 25.02465676, 2.63681764, 1.96113390
-2.56076105, 12.13260406, -14.84373985, 12.05072373, 12.80714167, -9.78870351, 25.12570534, 2.61921711, 1.96649960
-2.50027646, 12.17452406, -14.72754382, 12.05150398, 12.74847053, -9.90270966, 25.20990431, 2.65903720, 1.93602658
-2.44652299, 12.22364945, -14.62508018, 12.00519014, 12.68146061, -10.01377467, 25.26606485, 2.74690967, 1.88263921
-2.39949973, 12.28236222, -14.53945192, 11.91514934, 12.60614113, -10.10723577, 25.29185615, 2.84838886, 1.83234974
-2.35655849, 12.35586480, -14.47620433, 11.80174720, 12.53314085, -10.17218541, 25.28299174, 2.93762453, 1.80626901
-2.31401182, 12.44697221, -14.43524051, 11.69510873, 12.47937102, -10.19823038, 25.24100424, 2.99925355, 1.81239188
-2.26759075, 12.54496586, -14.39945192, 11.61995129, 12.45629701, -10.18123450, 25.17635394, 3.02998080, 1.84648085
-2.21157570, 12.62939135, -14.34583048, 11.57865919, 12.46427167, -10.13752673, 25.10079535, 3.03509130, 1.89746470
-2.14834846, 12.69232029, -14.26339365, 11.56015486, 12.50166577, -10.09794993, 25.02309530, 3.01907536, 1.95357541
-2.08763788, 12.73980036, -14.15825850, 11.55361114, 12.56483528, -10.08646610, 24.94638484, 2.98407086, 2.00620478
-2.03610129, 12.78030625, -14.04868091, 11.55283632, 12.64427041, -10.10803334, 24.87473115, 2.93308567, 2.04953317
-1.99250029, 12.81583569, -13.95580888, 11.55318592, 12.73017332, -10.15450718, 24.82045674, 2.87549076, 2.08436693
-1.95423291, 12.84716228, -13.89077628, 11.54739478, 12.81355967, -10.21495699, 24.80136872, 2.82511810, 2.11765512
-1.92460859, 12.87760521, -13.85280000, 11.52365516, 12.88655945, -10.27826706, 24.82292341, 2.78793444, 2.15258605
-1.91010538, 12.91134677, -13.83406687, 11.46986304, 12.94164775, -10.32975002, 24.87057956, 2.75652289, 2.18046501
-1.91394920, 12.95286624, -13.82830569, 11.38443445, 12.97667018, -10.36115701, 24.92538171, 2.72001366, 2.19031295
-1.93168975, 13.00549882, -13.83196070, 11.28827165, 12.99445744, -10.37649090, 24.97550330, 2.67378702, 2.17852999
-1.94994359, 13.07056231, -13.84027311, 11.22720352, 12.99928139, -10.38187503, 25.01641982, 2.61952037, 2.14635289
-1.95125877, 13.14797437, -13.84544014, 11.24523145, 12.99490662, -10.37372543, 25.04805147, 2.56383923, 2.09612210
-1.92304482, 13.23586585, -13.83879181, 11.33292809, 12.98719253, -10.34731737, 25.07495685, 2.51480375, 2.02865528
-1.86687032, 13.32806766, -13.81781529, 11.43081371, 12.97931607, -10.30610858, 25.10779694, 2.47796063, 1.94514939
-1.79621842, 13.41339534, -13.78874327, 11.47943732, 12.96431805, -10.25866850, 25.15882920, 2.45509692, 1.84731758
-1.72788530, 13.47896942, -13.76348436, 11.44883267, 12.93235257, -10.22100176, 25.23313347, 2.44177027, 1.73841851
-1.67347552, 13.51297060, -13.75478609, 11.36767061, 12.89949298, -10.20495587, 25.32830714, 2.43048623, 1.62383742
-1.63562079, 13.51135883, -13.77251330, 11.29618167, 12.90562805, -10.21804894, 25.43658214, 2.41499992, 1.51227986
-1.60879520, 13.48117934, -13.82150137, 11.26371792, 12.97017041, -10.26065468, 25.54515706, 2.38883725, 1.41327432
-1.58677148, 13.43653647, -13.89960536, 11.26172135, 13.07704493, -10.32222059, 25.63315175, 2.34127273, 1.33711397
-1.56714435, 13.39160510, -13.99886341, 11.27505661, 13.20309471, -10.39198501, 25.67928335, 2.26260465, 1.29087636
-1.55194023, 13.35736922, -14.10558933, 11.29252014, 13.33185564, -10.46373496, 25.68081642, 2.15200532, 1.26991008
-1.54316637, 13.33839423, -14.20687642, 11.30725561, 13.45499792, -10.53357901, 25.65244411, 2.01657724, 1.25966332
-1.54019812, 13.33341125, -14.29678598, 11.31805184, 13.57084456, -10.59523768, 25.61554204, 1.86846873, 1.24663162
-1.54308662, 13.33744995, -14.37295620, 11.32814763, 13.66883797, -10.63444822, 25.59578831, 1.73258129, 1.22401911
-1.55045718, 13.34338325, -14.43126451, 11.33814829, 13.72150508, -10.63210475, 25.62330919, 1.66348321, 1.18683395
-1.56006584, 13.34258735, -14.46524189, 11.33694701, 13.69581919, -10.57985044, 25.71011335, 1.69993021, 1.13088797
-1.56928330, 13.32647230, -14.46743130, 11.31974879, 13.60701884, -10.49341490, 25.82930349, 1.79743848, 1.06660612
-1.57505835, 13.29026378, -14.43318067, 11.28868381, 13.50134067, -10.40112265, 25.95908790, 1.90297513, 1.00985193
-1.57405479, 13.23591955, -14.36663531, 11.24292446, 13.40823024, -10.33019576, 26.07471646, 1.97379518, 0.96061557
-1.56244569, 13.16952295, -14.28284756, 11.17892577, 13.33657701, -10.29742334, 26.13717938, 1.96421235, 0.90076989
-1.53783120, 13.09855730, -14.19960340, 11.09297654, 13.28384123, -10.30119943, 26.13972083, 1.87375984, 0.83102919
-1.50196950, 13.04484268, -14.14348662, 10.98971342, 13.24454821, -10.32621711, 26.11011221, 1.74886448, 0.77506134
-1.45993130, 13.05622679, -14.14771582, 10.88390346, 13.21386415, -10.35540848, 26.06582301, 1.62707273, 0.74320622
-1.41068771, 13.14058285, -14.20973318, 10.79618442, 13.18794869, -10.37246100, 26.01309000, 1.52696511, 0.73099424
-1.35413482, 13.24904038, -14.28744922, 10.75147705, 13.16632924, -10.36197448, 25.96210739, 1.45284768, 0.72690391
-1.30287292, 13.34925856, -14.34184815, 10.75790312, 13.14896709, -10.31756083, 25.93108154, 1.39853984, 0.71682028
-1.27535469, 13.42827382, -14.34384401, 10.79150304, 13.13468608, -10.24876543, 25.93812145, 1.35432626, 0.69064806
-1.27627946, 13.48152305, -14.29645365, 10.81437285, 13.12129841, -10.17035570, 25.98627761, 1.31225878, 0.64977726
-1.29650217, 13.51055005, -14.23401845, 10.79668024, 13.10881603, -10.09096432, 26.06031271, 1.26487857, 0.60274043
-1.32453799, 13.52081316, -14.19178696, 10.72576128, 13.10520393, -10.01868032, 26.13867074, 1.20383069, 0.55208469
-1.35165243, 13.51753584, -14.18205316, 10.60568992, 13.12105503, -9.96074055, 26.20337409, 1.12441804, 0.49136837
-1.37188712, 13.50372775, -14.19577201, 10.45976324, 13.16070759, -9.92027301, 26.24248778, 1.02981911, 0.41681821
-1.38063433, 13.48227240, -14.21820968, 10.31859991, 13.21950159, -9.89639823, 26.25039560, 0.92814909, 0.33643679
-1.37477692, 13.45686652, -14.23760532, 10.20640121, 13.28752776, -9.88413859, 26.22550348, 0.82819456, 0.26225691
-1.35466492, 13.42863977, -14.24661577, 10.13863619, 13.35102215, -9.87183303, 26.16695701, 0.73937048, 0.20303286
-1.32288362, 13.39625324, -14.24167874, 10.12448135, 13.40292760, -9.85057393, 26.07742278, 0.66724118, 0.16040166
-1.28239804, 13.35921262, -14.22201486, 10.16380396, 13.44361253, -9.82357570, 25.96620568, 0.61348268, 0.13130234
-1.23632419, 13.31771507, -14.18995362, 10.24492967, 13.47503726, -9.79803815, 25.85219152, 0.57918221, 0.10961537
-1.18847933, 13.27153697, -14.15026479, 10.35306422, 13.49820184, -9.77746939, 25.75135531, 0.56424808, 0.09113942
-1.14415572, 13.22121082, -14.11102777, 10.47641296, 13.51382390, -9.76307985, 25.67232314, 0.56480223, 0.07312946
-1.10879809, 13.16953731, -14.08164139, 10.60906501, 13.52623665, -9.75399562, 25.62212463, 0.57466455, 0.04945190
-1.08589127, 13.11881586, -14.06869956, 10.74866312, 13.53999462, -9.74809251, 25.60979680, 0.58638099, 0.01012016
-1.07586530, 13.07283377, -14.07319552, 10.89417521, 13.56088302, -9.74549603, 25.63967434, 0.59369724, -0.05146374
