Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
3.41000000e+01, -2.94775156e+00, 9.94000000e+02
3.42000000e+01, -2.94673569e+00, 9.92000000e+02
3.43000000e+01, -2.94419741e+00, 9.87000000e+02
3.44000000e+01, -2.94771192e+00, 9.94000000e+02
3.45000000e+01, -2.94920995e+00, 9.97000000e+02
3.46000000e+01, -2.94769882e+00, 9.94000000e+02
3.47000000e+01, -2.94769012e+00, 9.94000000e+02
3.48000000e+01, -2.94617011e+00, 9.91000000e+02
3.49000000e+01, -2.94362803e+00, 9.86000000e+02
3.50000000e+01, -2.94055594e+00, 9.80000000e+02
3.51000000e+01, -2.94256374e+00, 9.84000000e+02
3.52000000e+01, -2.94910321e+00, 9.97000000e+02
3.53000000e+01, -2.94507072e+00, 9.89000000e+02
3.54000000e+01, -2.94556036e+00, 9.90000000e+02
3.55000000e+01, -2.94806506e+00, 9.95000000e+02
3.56000000e+01, -2.94755523e+00, 9.94000000e+02
3.57000000e+01, -2.94198274e+00, 9.83000000e+02
3.58000000e+01, -2.94651572e+00, 9.92000000e+02
3.59000000e+01, -2.94801431e+00, 9.95000000e+02
3.60000000e+01, -2.94901135e+00, 9.97000000e+02
3.61000000e+01, -2.94649334e+00, 9.92000000e+02
3.62000000e+01, -2.94547314e+00, 9.90000000e+02
3.63000000e+01, -2.94848041e+00, 9.96000000e+02
3.64000000e+01, -2.94797263e+00, 9.95000000e+02
3.65000000e+01, -2.94595165e+00, 9.91000000e+02
3.66000000e+01, -2.94745060e+00, 9.94000000e+02
3.67000000e+01, -2.94340195e+00, 9.86000000e+02
3.68000000e+01, -2.94236751e+00, 9.84000000e+02
3.69000000e+01, -2.94639420e+00, 9.92000000e+02
3.70000000e+01, -2.94131742e+00, 9.82000000e+02
3.71000000e+01, -2.94332540e+00, 9.86000000e+02
3.72000000e+01, -2.93974404e+00, 9.79000000e+02
3.73000000e+01, -2.93715534e+00, 9.74000000e+02
3.74000000e+01, -2.93454668e+00, 9.69000000e+02
3.75000000e+01, -2.93398832e+00, 9.68000000e+02
3.76000000e+01, -2.93031612e+00, 9.61000000e+02
3.77000000e+01, -2.93078324e+00, 9.62000000e+02
3.78000000e+01, -2.93228868e+00, 9.65000000e+02
3.79000000e+01, -2.93016471e+00, 9.61000000e+02
3.80000000e+01, -2.93011223e+00, 9.61000000e+02
3.81000000e+01, -2.92745164e+00, 9.56000000e+02
3.82000000e+01, -2.92582108e+00, 9.53000000e+02
3.83000000e+01, -2.92628246e+00, 9.54000000e+02
3.84000000e+01, -2.92253869e+00, 9.47000000e+02
3.85000000e+01, -2.92352264e+00, 9.49000000e+02
3.86000000e+01, -2.92817414e+00, 9.58000000e+02
3.87000000e+01, -2.93072138e+00, 9.63000000e+02
3.88000000e+01, -2.93326201e+00, 9.68000000e+02
3.89000000e+01, -2.93322010e+00, 9.68000000e+02
3.90000000e+01, -2.93266150e+00, 9.67000000e+02
3.91000000e+01, -2.93519713e+00, 9.72000000e+02
3.92000000e+01, -2.93464615e+00, 9.71000000e+02
3.93000000e+01, -2.93099102e+00, 9.64000000e+02
3.94000000e+01, -2.93301477e+00, 9.68000000e+02
3.95000000e+01, -2.93708875e+00, 9.76000000e+02
3.96000000e+01, -2.94063127e+00, 9.83000000e+02
3.97000000e+01, -2.93857088e+00, 9.79000000e+02
3.98000000e+01, -2.93854415e+00, 9.79000000e+02
3.99000000e+01, -2.93595731e+00, 9.74000000e+02
