x-axis (inverse cm), DICING_transmission_spectrum (percent), PDMS_transmission_spectrum (percent), x-axis (inverse cm), KAPTON_transmission_spectrum (percent), PMMA_transmission_spectrum (percent)
3262.7617,1.05303,1.05473,3262.7617,1.0499,1.00813
3260.83335,1.05296,1.05453,3260.83335,1.04971,1.00808
3258.90501,1.05292,1.0545,3258.90501,1.04973,1.00812
3256.97666,1.05299,1.05464,3256.97666,1.04985,1.00829
3255.04831,1.05308,1.0547,3255.04831,1.04988,1.00837
3253.11997,1.05317,1.05469,3253.11997,1.04988,1.00835
3251.19162,1.05323,1.05474,3251.19162,1.04991,1.00841
3249.26327,1.0532,1.05474,3249.26327,1.04992,1.00854
3247.33493,1.05318,1.05463,3247.33493,1.04992,1.00861
3245.40658,1.05316,1.05447,3245.40658,1.04986,1.00857
3243.47824,1.05302,1.05428,3243.47824,1.04969,1.00853
3241.54989,1.05277,1.05414,3241.54989,1.04948,1.00851
3239.62154,1.05255,1.05412,3239.62154,1.04936,1.00851
3237.6932,1.05242,1.05414,3237.6932,1.04937,1.00858
3235.76485,1.05228,1.05397,3235.76485,1.04935,1.00863
3233.83651,1.05217,1.05371,3233.83651,1.04926,1.0085
3231.90816,1.05213,1.05357,3231.90816,1.04916,1.00824
3229.97981,1.05214,1.05355,3229.97981,1.04908,1.00808
3228.05147,1.0522,1.05355,3228.05147,1.04909,1.00809
3226.12312,1.05225,1.05352,3226.12312,1.04916,1.00814
3224.19477,1.05221,1.0534,3224.19477,1.04917,1.00812
3222.26643,1.05212,1.05329,3222.26643,1.04922,1.00813
3220.33808,1.05207,1.05324,3220.33808,1.04942,1.00812
3218.40974,1.05208,1.0532,3218.40974,1.04956,1.00801
3216.48139,1.0522,1.05322,3216.48139,1.0495,1.00788
3214.55304,1.05234,1.05332,3214.55304,1.04944,1.00791
3212.6247,1.05241,1.05347,3212.6247,1.04949,1.00813
3210.69635,1.0525,1.05365,3210.69635,1.04964,1.00842
3208.76801,1.05266,1.05382,3208.76801,1.04975,1.00863
3206.83966,1.05287,1.05399,3206.83966,1.04981,1.00877
3204.91131,1.05308,1.05419,3204.91131,1.04997,1.00895
3202.98297,1.05315,1.05428,3202.98297,1.05017,1.00903
3201.05462,1.05307,1.05421,3201.05462,1.05025,1.00889
3199.12627,1.05307,1.05415,3199.12627,1.05026,1.00878
3197.19793,1.05321,1.05414,3197.19793,1.0503,1.00884
3195.26958,1.05329,1.05412,3195.26958,1.05034,1.00894
3193.34124,1.0533,1.05414,3193.34124,1.05041,1.00906
3191.41289,1.05334,1.05428,3191.41289,1.05046,1.00922
3189.48454,1.05338,1.05445,3189.48454,1.05051,1.00933
3187.5562,1.05341,1.05455,3187.5562,1.05061,1.00934
3185.62785,1.05342,1.05459,3185.62785,1.05072,1.00926
3183.69951,1.05341,1.05461,3183.69951,1.05072,1.00916
3181.77116,1.05349,1.05464,3181.77116,1.05071,1.00917
3179.84281,1.05369,1.05472,3179.84281,1.05081,1.00937
3177.91447,1.05383,1.05482,3177.91447,1.05097,1.00964
