Wavelength [nm],Voltage [V],Normalised voltage,Wavelength simulation [nm],Relative intensity simulation
637.6875,0.1126587471,0.317092978,663.02302,0.00442459
637.8125,0.1126716824,0.3171293861,663.24324,0.00104391
637.90625,0.1127061588,0.3172264246,663.46346,0.00020286
638.0,0.1123864265,0.3163264956,663.68368,0.00003247
638.09375,0.1126183735,0.3169793413,663.90390,0.00000428
638.1875,0.1124465412,0.3164956964,664.12412,0.00000046
638.3125,0.1123963912,0.3163545425,664.34434,0.00000004
638.40625,0.11277345,0.3174158246,664.56456,0.00000000
638.5,0.1121070412,0.3155401286,664.78478,0.00000000
638.59375,0.1122279059,0.3158803183,665.00501,0.00000000
638.6875,0.1120959559,0.3155089276,665.22523,0.00000000
638.8125,0.1123905941,0.316338226,665.44545,0.00000000
638.90625,0.11199895,0.3152358917,665.66567,0.00000000
639.0,0.1121863647,0.3157633952,665.88589,0.00000000
639.09375,0.1121764853,0.3157355883,666.10611,0.00000000
639.1875,0.1118150824,0.3147183718,666.32633,0.00000000
639.3125,0.1118942824,0.3149412907,666.54655,0.00000000
639.40625,0.1119966882,0.3152295256,666.76677,0.00000000
639.5,0.1121359941,0.3156216205,666.98699,0.00000000
639.59375,0.1122091382,0.3158274943,667.20721,0.00000000
639.6875,0.1122639353,0.3159817279,667.42743,0.00000000
639.8125,0.1118469471,0.3148080592,667.64765,0.00000005
639.90625,0.1115544706,0.3139848454,667.86787,0.00000054
640.0,0.1121895735,0.3157724269,668.08809,0.00000486
640.09375,0.1118587147,0.3148411808,668.30831,0.00003626
640.1875,0.1125710647,0.3168461843,668.52853,0.00022265
640.3125,0.1128153059,0.3175336335,668.74875,0.00112622
640.40625,0.1119609265,0.3151288694,668.96897,0.00469220
640.5,0.1120687794,0.3154324358,669.18919,0.01610209
640.59375,0.11162895,0.3141944776,669.40941,0.04551346
640.6875,0.1114872588,0.313795669,669.62963,0.10596189
640.8125,0.1116765,0.3143283134,669.84985,0.20319436
640.90625,0.1120689529,0.3154329242,670.07007,0.32094145
641.0,0.1116433794,0.3142350911,670.29029,0.41753429
641.09375,0.1121170412,0.3155682749,670.51051,0.44741512
641.1875,0.1120792912,0.3154620226,670.73073,0.39489474
641.3125,0.1118693529,0.3148711236,670.95095,0.28708084
641.40625,0.1116062176,0.3141304944,671.17117,0.17190134
641.5,0.1119573853,0.3151189023,671.39139,0.08478255
641.59375,0.1122349559,0.3159001615,671.61161,0.03444180
641.6875,0.1115347382,0.3139293061,671.83183,0.01152438
641.8125,0.1119666912,0.3151450949,672.05205,0.00317615
641.90625,0.1119175912,0.3150068965,672.27227,0.00072100
642.0,0.1114299206,0.313634283,672.49249,0.00013481
642.09375,0.1120074206,0.3152597333,672.71271,0.00002076
642.1875,0.1118701,0.3148732263,672.93293,0.00000263
642.3125,0.1120759265,0.3154525521,673.15315,0.00000028
642.40625,0.1120946118,0.3155051444,673.37337,0.00000002
642.5,0.1116484441,0.3142493464,673.59359,0.00000000
642.59375,0.1114121088,0.3135841494,673.81381,0.00000000
