All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Theoretical curve simple model (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
84.0,55.395658565043675,55.00161047147594,56.595682648969365,,,
85.0,55.00190849450506,54.60865227398803,56.19305878113043,,,
86.0,54.608937146946396,54.21658478082889,55.79087494721477,,,
87.0,54.21685620341551,53.82551940791144,55.38925016640623,,,
88.0,53.8257770919106,53.43556728637078,54.9883032924468,,,
89.0,53.435810955712796,53.046839230983366,54.588152978463945,,,
90.0,53.04706862179964,52.659445708676266,54.188917641857316,,,
91.0,52.65966056934843,52.27349680713516,53.79071542925519,,,
92.0,52.273696898338486,51.88910220352013,53.3936641815511,,,
93.0,51.88928729826109,51.50637113329812,52.99788139903091,,,
94.0,51.50654101694612,51.12541235920088,52.603484206600655,,,
95.0,51.12556682951427,50.74633414031734,52.210589319125546,,,
96.0,50.746473007463464,50.369244201329,51.819313006890205,,,
97.0,50.36936728789855,49.99424970189727,51.42977106119061,,,
98.0,49.994356842912765,49.62145720621126,51.04207876006765,,,
99.0,49.621548249129845,49.25097265270497,50.65635083419268,,,
100.0,49.25104745741528,48.88290132395212,50.27270143291496,,,
101.0,48.882959762765516,48.517347816747474,49.8912440904812,,,
102.0,48.51738977438345,48.15441601238301,49.512091692437146,,,
103.0,48.15444138594889,47.794209047127396,49.13535644222103,,,
104.0,47.79421774609234,47.436829282917245,48.76114982795902,,,
105.0,47.43682122908053,47.08237827826832,48.3895825894722,,,
106.0,47.08235340572202,46.73095675941518,48.020764685505185,,,
107.0,46.73091501450111,46.38266459168719,47.65480526118569,,,
108.0,46.382605932948394,46.03760075112933,47.291812615725014,,,
109.0,46.03752514925583,45.6958632963756,46.93189417036878,,,
110.0,45.69577073414474,45.35754934078319,46.57515643660752,,,
111.0,45.357439812994414,45.02275502483522,46.22170498465651,,,
112.0,45.02262853823941,44.69157548882008,45.871644412214096,,,
113.0,44.69143206204344,44.364104845794785,45.525078313507905,,,
114.0,44.363944509257394,44.04043615484047,45.182109248637914,,,
115.0,44.04025895066944,43.72066139461723,44.842838713225646,,,
116.0,43.72046737655465,43.40487143722607,44.50736710837832,,,
117.0,43.40466067053164,43.09315602238532,44.17579371097694,,,
118.0,43.09292858373382,42.785603731928774,43.84821664429701,,,
119.0,42.785359709302426,42.48230196463294,43.524732848970764,,,
