x_IR_A, y_IR_A, x_IR_B, y_IR_B, x_IR_C, y_IR_C
3528.87587,1.03025,3528.87587,1.02873,3528.87587,1.03876
3526.94752,1.03012,3526.94752,1.02880,3526.94752,1.03888
3525.01917,1.03003,3525.01917,1.02887,3525.01917,1.03899
3523.09082,1.02994,3523.09082,1.02896,3523.09082,1.03907
3521.16248,1.02994,3521.16248,1.02889,3521.16248,1.03918
3519.23413,1.02962,3519.23413,1.02881,3519.23413,1.03923
3517.30578,1.02917,3517.30578,1.02871,3517.30578,1.03918
3515.37743,1.02888,3515.37743,1.02852,3515.37743,1.03905
3513.44909,1.02843,3513.44909,1.02842,3513.44909,1.03885
3511.52074,1.02762,3511.52074,1.02861,3511.52074,1.03871
3509.59239,1.02692,3509.59239,1.02893,3509.59239,1.03874
3507.66404,1.02672,3507.66404,1.02893,3507.66404,1.03891
3505.73570,1.02612,3505.73570,1.02891,3505.73570,1.03905
3503.80735,1.02499,3503.80735,1.02913,3503.80735,1.03905
3501.87900,1.02438,3501.87900,1.02912,3501.87900,1.03894
3499.95066,1.02389,3499.95066,1.02892,3499.95066,1.03884
3498.02231,1.02277,3498.02231,1.02898,3498.02231,1.03878
3496.09396,1.02151,3496.09396,1.02915,3496.09396,1.03864
3494.16561,1.02054,3494.16561,1.02914,3494.16561,1.03848
3492.23727,1.01971,3492.23727,1.02900,3492.23727,1.03842
3490.30892,1.01891,3490.30892,1.02895,3490.30892,1.03842
3488.38057,1.01834,3488.38057,1.02898,3488.38057,1.03838
3486.45222,1.01824,3486.45222,1.02892,3486.45222,1.03831
3484.52388,1.01826,3484.52388,1.02894,3484.52388,1.03821
3482.59553,1.01826,3482.59553,1.02919,3482.59553,1.03812
3480.66718,1.01888,3480.66718,1.02924,3480.66718,1.03806
3478.73883,1.01980,3478.73883,1.02912,3478.73883,1.03792
3476.81049,1.02046,3476.81049,1.02923,3476.81049,1.03776
3474.88214,1.02115,3474.88214,1.02939,3474.88214,1.03774
3472.95379,1.02211,3472.95379,1.02934,3472.95379,1.03776
3471.02544,1.02319,3471.02544,1.02922,3471.02544,1.03780
3469.09710,1.02421,3469.09710,1.02930,3469.09710,1.03793
3467.16875,1.02495,3467.16875,1.02951,3467.16875,1.03786
3465.24040,1.02535,3465.24040,1.02958,3465.24040,1.03742
3463.31205,1.02555,3463.31205,1.02953,3463.31205,1.03698
3461.38371,1.02589,3461.38371,1.02949,3461.38371,1.03676
3459.45536,1.02626,3459.45536,1.02945,3459.45536,1.03654
3457.52701,1.02641,3457.52701,1.02943,3457.52701,1.03632
3455.59866,1.02652,3455.59866,1.02943,3455.59866,1.03621
3453.67032,1.02668,3453.67032,1.02947,3453.67032,1.03608
3451.74197,1.02689,3451.74197,1.02945,3451.74197,1.03579
3449.81362,1.02688,3449.81362,1.02936,3449.81362,1.03549
3447.88527,1.02658,3447.88527,1.02944,3447.88527,1.03535
3445.95693,1.02665,3445.95693,1.02956,3445.95693,1.03538
3444.02858,1.02677,3444.02858,1.02964,3444.02858,1.03545
3442.10023,1.02666,3442.10023,1.02970,3442.10023,1.03549
3440.17188,1.02700,3440.17188,1.02970,3440.17188,1.03568
3438.24354,1.02771,3438.24354,1.02977,3438.24354,1.03618
3436.31519,1.02828,3436.31519,1.02980,3436.31519,1.03668
3434.38684,1.02837,3434.38684,1.02979,3434.38684,1.03686
3432.45849,1.02827,3432.45849,1.02992,3432.45849,1.03694
3430.53015,1.02832,3430.53015,1.03010,3430.53015,1.03715
3428.60180,1.02823,3428.60180,1.03016,3428.60180,1.03734
3426.67345,1.02793,3426.67345,1.03009,3426.67345,1.03745
3424.74510,1.02776,3424.74510,1.02995,3424.74510,1.03759
3422.81676,1.02782,3422.81676,1.02994,3422.81676,1.03783
3420.88841,1.02807,3420.88841,1.03001,3420.88841,1.03815
3418.96006,1.02846,3418.96006,1.02995,3418.96006,1.03832
3417.03171,1.02864,3417.03171,1.02993,3417.03171,1.03826
3415.10337,1.02881,3415.10337,1.03001,3415.10337,1.03823
3413.17502,1.02926,3413.17502,1.03006,3413.17502,1.03841
3411.24667,1.02967,3411.24667,1.03001,3411.24667,1.03874
3409.31832,1.02976,3409.31832,1.02990,3409.31832,1.03901
3407.38998,1.02958,3407.38998,1.02988,3407.38998,1.03908
3405.46163,1.02954,3405.46163,1.03001,3405.46163,1.03913
3403.53328,1.03008,3403.53328,1.03009,3403.53328,1.03938
3401.60493,1.03095,3401.60493,1.03017,3401.60493,1.03968
3399.67659,1.03171,3399.67659,1.03074,3399.67659,1.03991
