Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
3.12000000e+00, -2.91402359e+00, 9.11000000e+02
3.13000000e+00, -2.91770146e+00, 9.18000000e+02
3.14000000e+00, -2.92028071e+00, 9.23000000e+02
3.15000000e+00, -2.92123537e+00, 9.25000000e+02
3.16000000e+00, -2.92111162e+00, 9.25000000e+02
3.17000000e+00, -2.92206818e+00, 9.27000000e+02
3.18000000e+00, -2.91815867e+00, 9.20000000e+02
3.19000000e+00, -2.92289510e+00, 9.29000000e+02
3.20000000e+00, -2.92331759e+00, 9.30000000e+02
3.21000000e+00, -2.92801965e+00, 9.39000000e+02
3.22000000e+00, -2.92738884e+00, 9.38000000e+02
3.23000000e+00, -2.92568775e+00, 9.35000000e+02
3.24000000e+00, -2.92718542e+00, 9.38000000e+02
3.25000000e+00, -2.93186122e+00, 9.47000000e+02
3.26000000e+00, -2.93072036e+00, 9.45000000e+02
3.27000000e+00, -2.93484858e+00, 9.53000000e+02
3.28000000e+00, -2.93634647e+00, 9.56000000e+02
3.29000000e+00, -2.93992563e+00, 9.63000000e+02
3.30000000e+00, -2.94038727e+00, 9.64000000e+02
3.31000000e+00, -2.94136799e+00, 9.66000000e+02
3.32000000e+00, -2.94131574e+00, 9.66000000e+02
3.33000000e+00, -2.93866893e+00, 9.61000000e+02
3.34000000e+00, -2.93704588e+00, 9.58000000e+02
3.35000000e+00, -2.93802441e+00, 9.60000000e+02
3.36000000e+00, -2.93744237e+00, 9.59000000e+02
3.37000000e+00, -2.93842174e+00, 9.61000000e+02
3.38000000e+00, -2.93836272e+00, 9.61000000e+02
3.39000000e+00, -2.93726220e+00, 9.59000000e+02
3.40000000e+00, -2.93720046e+00, 9.59000000e+02
3.41000000e+00, -2.94025741e+00, 9.65000000e+02
3.42000000e+00, -2.94227342e+00, 9.69000000e+02
3.43000000e+00, -2.94531381e+00, 9.75000000e+02
3.44000000e+00, -2.94834440e+00, 9.81000000e+02
3.45000000e+00, -2.94627362e+00, 9.77000000e+02
3.46000000e+00, -2.94521530e+00, 9.75000000e+02
3.47000000e+00, -2.94620331e+00, 9.77000000e+02
3.48000000e+00, -2.94719227e+00, 9.79000000e+02
3.49000000e+00, -2.94920052e+00, 9.83000000e+02
3.50000000e+00, -2.94968434e+00, 9.84000000e+02
3.51000000e+00, -2.95118337e+00, 9.87000000e+02
3.52000000e+00, -2.95570334e+00, 9.96000000e+02
3.53000000e+00, -2.95670066e+00, 9.98000000e+02
3.54000000e+00, -2.95468979e+00, 9.94000000e+02
3.55000000e+00, -2.95417801e+00, 9.93000000e+02
3.56000000e+00, -2.95517416e+00, 9.95000000e+02
3.57000000e+00, -2.95163710e+00, 9.88000000e+02
3.58000000e+00, -2.95515021e+00, 9.95000000e+02
3.59000000e+00, -2.95614722e+00, 9.97000000e+02
3.60000000e+00, -2.95814504e+00, 1.00100000e+03
3.61000000e+00, -2.95714643e+00, 9.99000000e+02
3.62000000e+00, -2.95914305e+00, 1.00300000e+03
3.63000000e+00, -2.95664843e+00, 9.98000000e+02
3.64000000e+00, -2.95161039e+00, 9.88000000e+02
3.65000000e+00, -2.95462106e+00, 9.94000000e+02
3.66000000e+00, -2.95310148e+00, 9.91000000e+02
3.67000000e+00, -2.95258433e+00, 9.90000000e+02
3.68000000e+00, -2.95206533e+00, 9.89000000e+02
3.69000000e+00, -2.95154449e+00, 9.88000000e+02
3.70000000e+00, -2.94949973e+00, 9.84000000e+02
3.71000000e+00, -2.95201215e+00, 9.89000000e+02
3.72000000e+00, -2.95098510e+00, 9.87000000e+02
3.73000000e+00, -2.94893705e+00, 9.83000000e+02
3.74000000e+00, -2.94891406e+00, 9.83000000e+02
3.75000000e+00, -2.94838224e+00, 9.82000000e+02
3.76000000e+00, -2.94886692e+00, 9.83000000e+02
3.77000000e+00, -2.94731585e+00, 9.80000000e+02
3.78000000e+00, -2.94524406e+00, 9.76000000e+02
3.79000000e+00, -2.94623547e+00, 9.78000000e+02
3.80000000e+00, -2.95027946e+00, 9.86000000e+02
3.81000000e+00, -2.95228521e+00, 9.90000000e+02
3.82000000e+00, -2.95227202e+00, 9.90000000e+02
3.83000000e+00, -2.95528002e+00, 9.96000000e+02
3.84000000e+00, -2.95627780e+00, 9.98000000e+02
3.85000000e+00, -2.95727619e+00, 1.00000000e+03
3.86000000e+00, -2.95927220e+00, 1.00400000e+03
3.87000000e+00, -2.96076917e+00, 1.00700000e+03
3.88000000e+00, -2.96077818e+00, 1.00700000e+03
3.89000000e+00, -2.96029040e+00, 1.00600000e+03
3.90000000e+00, -2.96029809e+00, 1.00600000e+03
3.91000000e+00, -2.95931073e+00, 1.00400000e+03
3.92000000e+00, -2.95531582e+00, 9.96000000e+02
3.93000000e+00, -2.95480844e+00, 9.95000000e+02
3.94000000e+00, -2.95480207e+00, 9.95000000e+02
3.95000000e+00, -2.95529797e+00, 9.96000000e+02
3.96000000e+00, -2.95679665e+00, 9.99000000e+02
3.97000000e+00, -2.95829464e+00, 1.00200000e+03
3.98000000e+00, -2.95829716e+00, 1.00200000e+03
3.99000000e+00, -2.95730067e+00, 1.00000000e+03
4.00000000e+00, -2.95780042e+00, 1.00100000e+03
4.01000000e+00, -2.96029295e+00, 1.00600000e+03
4.02000000e+00, -2.95680913e+00, 9.99000000e+02
4.03000000e+00, -2.95480186e+00, 9.95000000e+02
4.04000000e+00, -2.95630091e+00, 9.98000000e+02
4.05000000e+00, -2.95679918e+00, 9.99000000e+02
4.06000000e+00, -2.95679795e+00, 9.99000000e+02
4.07000000e+00, -2.95729697e+00, 1.00000000e+03
4.08000000e+00, -2.95879472e+00, 1.00300000e+03
4.09000000e+00, -2.95730064e+00, 1.00000000e+03
4.10000000e+00, -2.95829964e+00, 1.00200000e+03
4.11000000e+00, -2.95929909e+00, 1.00400000e+03
4.12000000e+00, -2.95680768e+00, 9.99000000e+02
4.13000000e+00, -2.95630572e+00, 9.98000000e+02
4.14000000e+00, -2.95126800e+00, 9.88000000e+02
4.15000000e+00, -2.95175924e+00, 9.89000000e+02
4.16000000e+00, -2.95124010e+00, 9.88000000e+02
4.17000000e+00, -2.95223671e+00, 9.90000000e+02
4.18000000e+00, -2.94969301e+00, 9.85000000e+02
4.19000000e+00, -2.94967493e+00, 9.85000000e+02
4.20000000e+00, -2.94864063e+00, 9.83000000e+02
4.21000000e+00, -2.94912861e+00, 9.84000000e+02
4.22000000e+00, -2.94860106e+00, 9.83000000e+02
4.23000000e+00, -2.94858075e+00, 9.83000000e+02
4.24000000e+00, -2.94703221e+00, 9.80000000e+02
4.25000000e+00, -2.94547542e+00, 9.77000000e+02
4.26000000e+00, -2.94595956e+00, 9.78000000e+02
4.27000000e+00, -2.94746484e+00, 9.81000000e+02
4.28000000e+00, -2.94896910e+00, 9.84000000e+02
4.29000000e+00, -2.94435604e+00, 9.75000000e+02
4.30000000e+00, -2.94483909e+00, 9.76000000e+02
4.31000000e+00, -2.94327159e+00, 9.73000000e+02
4.32000000e+00, -2.94118010e+00, 9.69000000e+02
4.33000000e+00, -2.94371700e+00, 9.74000000e+02
4.34000000e+00, -2.94214417e+00, 9.71000000e+02
4.35000000e+00, -2.94365268e+00, 9.74000000e+02
4.36000000e+00, -2.94259465e+00, 9.72000000e+02
4.37000000e+00, -2.94358983e+00, 9.74000000e+02
4.38000000e+00, -2.94355969e+00, 9.74000000e+02
4.39000000e+00, -2.94557880e+00, 9.78000000e+02
4.40000000e+00, -2.94401736e+00, 9.75000000e+02
4.41000000e+00, -2.94141789e+00, 9.70000000e+02
4.42000000e+00, -2.94292736e+00, 9.73000000e+02
4.43000000e+00, -2.94135240e+00, 9.70000000e+02
4.44000000e+00, -2.94080229e+00, 9.69000000e+02
4.45000000e+00, -2.93766122e+00, 9.63000000e+02
4.46000000e+00, -2.93501605e+00, 9.58000000e+02
4.47000000e+00, -2.93235151e+00, 9.53000000e+02
4.48000000e+00, -2.92966746e+00, 9.48000000e+02
4.49000000e+00, -2.92908015e+00, 9.47000000e+02
4.50000000e+00, -2.93060096e+00, 9.50000000e+02
4.51000000e+00, -2.92896252e+00, 9.47000000e+02
4.52000000e+00, -2.92837388e+00, 9.46000000e+02
4.53000000e+00, -2.92566276e+00, 9.41000000e+02
4.54000000e+00, -2.92718715e+00, 9.44000000e+02
4.55000000e+00, -2.92606324e+00, 9.42000000e+02
4.56000000e+00, -2.92440268e+00, 9.39000000e+02
4.57000000e+00, -2.92166415e+00, 9.34000000e+02
4.58000000e+00, -2.91944352e+00, 9.30000000e+02
4.59000000e+00, -2.92043841e+00, 9.32000000e+02
4.60000000e+00, -2.91982493e+00, 9.31000000e+02
4.61000000e+00, -2.92082018e+00, 9.33000000e+02
4.62000000e+00, -2.91859673e+00, 9.29000000e+02
4.63000000e+00, -2.91689977e+00, 9.26000000e+02
4.64000000e+00, -2.91519425e+00, 9.23000000e+02
4.65000000e+00, -2.91619016e+00, 9.25000000e+02
4.66000000e+00, -2.91826383e+00, 9.29000000e+02
4.67000000e+00, -2.92033304e+00, 9.33000000e+02
4.68000000e+00, -2.91864848e+00, 9.30000000e+02
4.69000000e+00, -2.91803302e+00, 9.29000000e+02
4.70000000e+00, -2.91579701e+00, 9.25000000e+02
4.71000000e+00, -2.91733307e+00, 9.28000000e+02
4.72000000e+00, -2.91940428e+00, 9.32000000e+02
4.73000000e+00, -2.91501931e+00, 9.24000000e+02
4.74000000e+00, -2.91439434e+00, 9.23000000e+02
4.75000000e+00, -2.91647198e+00, 9.27000000e+02
4.76000000e+00, -2.91639219e+00, 9.27000000e+02
4.77000000e+00, -2.91088952e+00, 9.17000000e+02
