Time (ps), Potential energy per cell (eV), Kinetic energy per cell (eV), Total energy per cell (eV), Temperature (C), Pressure (GPa), Volume per cell (Å^3)
1.87000000, 0.42372694, 0.38700518, 0.81073212, 475.35067705, 3.67116578, 65.45082700
1.88000000, 0.43301760, 0.37861469, 0.81163228, 459.12275362, 3.72121279, 65.45082700
1.89000000, 0.42009881, 0.39151962, 0.81161843, 484.08198334, 3.64092882, 65.45082700
1.90000000, 0.40022622, 0.40995050, 0.81017672, 519.72885650, 3.51147532, 65.45082700
1.91000000, 0.39959397, 0.41149805, 0.81109201, 522.72194906, 3.51199396, 65.45082700
1.92000000, 0.40727023, 0.40410887, 0.81137910, 508.43066417, 3.57934167, 65.45082700
1.93000000, 0.41111426, 0.40007351, 0.81118777, 500.62593915, 3.63215495, 65.45082700
1.94000000, 0.40967122, 0.40109588, 0.81076710, 502.60327623, 3.67848189, 65.45082700
1.95000000, 0.40974771, 0.40022686, 0.80997458, 500.92252980, 3.66595586, 65.45082700
1.96000000, 0.41762612, 0.39332475, 0.81095087, 487.57326242, 3.68651392, 65.45082700
1.97000000, 0.41956858, 0.39234314, 0.81191172, 485.67473541, 3.69572805, 65.45082700
1.98000000, 0.40578613, 0.40568337, 0.81146950, 511.47586526, 3.61777005, 65.45082700
1.99000000, 0.38939146, 0.42029986, 0.80969132, 539.74540374, 3.54361068, 65.45082700
2.00000000, 0.39293447, 0.41597853, 0.80891299, 531.38757556, 3.56170955, 65.45082700
2.01000000, 0.41418124, 0.39651275, 0.81069400, 493.73912938, 3.67706565, 65.45082700
2.02000000, 0.41903068, 0.39206284, 0.81109352, 485.13261418, 3.71065742, 65.45082700
2.03000000, 0.40379602, 0.40474470, 0.80854072, 509.66039879, 3.64270527, 65.45082700
2.04000000, 0.40443756, 0.40411259, 0.80855015, 508.43785061, 3.65111003, 65.45082700
2.05000000, 0.42026239, 0.38977329, 0.81003568, 480.70443015, 3.71059847, 65.45082700
2.06000000, 0.42731853, 0.38353413, 0.81085266, 468.63737842, 3.75672723, 65.45082700
2.07000000, 0.41912167, 0.39172678, 0.81084844, 484.48264276, 3.71836716, 65.45082700
2.08000000, 0.40838709, 0.40175512, 0.81014221, 503.87831154, 3.68987258, 65.45082700
2.09000000, 0.41148372, 0.39903836, 0.81052209, 498.62386801, 3.73654125, 65.45082700
2.10000000, 0.42518370, 0.38639328, 0.81157699, 474.16722040, 3.79887429, 65.45082700
2.11000000, 0.42937734, 0.38366441, 0.81304175, 468.88935282, 3.82878694, 65.45082700
2.12000000, 0.41308159, 0.39839518, 0.81147678, 497.37990857, 3.72422306, 65.45082700
2.13000000, 0.40204195, 0.40943992, 0.81148187, 518.74136429, 3.60978952, 65.45082700
2.14000000, 0.40112384, 0.41136785, 0.81249169, 522.47014123, 3.54010098, 65.45082700
2.15000000, 0.39472299, 0.41654305, 0.81126604, 532.47941918, 3.50540525, 65.45082700
2.16000000, 0.39199608, 0.41746246, 0.80945854, 534.25762124, 3.55027853, 65.45082700
2.17000000, 0.40713151, 0.40207796, 0.80920947, 504.50270255, 3.68143144, 65.45082700
2.18000000, 0.43048726, 0.37969325, 0.81018050, 461.20878241, 3.83996709, 65.45082700
2.19000000, 0.44070206, 0.37097469, 0.81167675, 444.34635964, 3.86566858, 65.45082700
2.20000000, 0.42720205, 0.38470803, 0.81191008, 470.90779337, 3.76322621, 65.45082700
2.21000000, 0.40430708, 0.40766325, 0.81197033, 515.30513582, 3.66177649, 65.45082700
2.22000000, 0.38488388, 0.42585831, 0.81074219, 550.49590609, 3.55960747, 65.45082700
2.23000000, 0.38357876, 0.42605705, 0.80963581, 550.88029065, 3.54332811, 65.45082700
2.24000000, 0.40104038, 0.40907210, 0.81011248, 518.02995543, 3.65108758, 65.45082700
2.25000000, 0.41827266, 0.39154163, 0.80981429, 484.12455442, 3.77703794, 65.45082700
2.26000000, 0.43036724, 0.38029106, 0.81065831, 462.36501186, 3.83214517, 65.45082700
2.27000000, 0.43271866, 0.37866957, 0.81138823, 459.22891152, 3.80837888, 65.45082700
2.28000000, 0.42567019, 0.38631102, 0.81198120, 474.00810537, 3.72588794, 65.45082700
2.29000000, 0.41415440, 0.39771934, 0.81187374, 496.07275970, 3.64839363, 65.45082700
2.30000000, 0.40737584, 0.40390129, 0.81127712, 508.02917230, 3.62960612, 65.45082700
2.31000000, 0.41151709, 0.40076366, 0.81228075, 501.96074022, 3.64848851, 65.45082700
2.32000000, 0.41300170, 0.39958911, 0.81259081, 499.68906172, 3.69000881, 65.45082700
2.33000000, 0.40721327, 0.40504360, 0.81225687, 510.23850632, 3.63926038, 65.45082700
2.34000000, 0.40233317, 0.40954103, 0.81187420, 518.93690751, 3.59472929, 65.45082700
2.35000000, 0.40413139, 0.40700206, 0.81113346, 514.02634145, 3.60224413, 65.45082700
2.36000000, 0.41312199, 0.39864735, 0.81176933, 497.86760946, 3.66724771, 65.45082700
2.37000000, 0.41702812, 0.39533504, 0.81236316, 491.46132786, 3.74291338, 65.45082700
2.38000000, 0.40742692, 0.40441811, 0.81184503, 509.02875008, 3.74922151, 65.45082700
2.39000000, 0.39626080, 0.41410551, 0.81036631, 527.76501184, 3.67817121, 65.45082700
2.40000000, 0.40324806, 0.40700603, 0.81025408, 514.03400189, 3.69325318, 65.45082700
2.41000000, 0.42342923, 0.38772683, 0.81115606, 476.74641606, 3.75039651, 65.45082700
2.42000000, 0.43670142, 0.37549898, 0.81220040, 453.09671928, 3.75353110, 65.45082700
2.43000000, 0.43340746, 0.37896988, 0.81237734, 459.80973970, 3.77413216, 65.45082700
2.44000000, 0.42513479, 0.38753686, 0.81267165, 476.37900006, 3.83074723, 65.45082700
2.45000000, 0.42132696, 0.39247227, 0.81379922, 485.92448892, 3.81203934, 65.45082700
2.46000000, 0.41596924, 0.39761499, 0.81358423, 495.87093859, 3.70643113, 65.45082700
2.47000000, 0.41292479, 0.40088599, 0.81381078, 502.19734216, 3.64747050, 65.45082700
2.48000000, 0.41071972, 0.40333077, 0.81405049, 506.92574035, 3.63727783, 65.45082700
2.49000000, 0.40513478, 0.40848272, 0.81361750, 516.89004688, 3.65062833, 65.45082700
2.50000000, 0.39873735, 0.41393926, 0.81267661, 527.44346093, 3.61480200, 65.45082700
2.51000000, 0.39907043, 0.41287466, 0.81194508, 525.38443020, 3.58224680, 65.45082700
2.52000000, 0.40603725, 0.40668214, 0.81271939, 513.40758040, 3.53767551, 65.45082700
2.53000000, 0.40527885, 0.40606985, 0.81134871, 512.22336787, 3.49014984, 65.45082700
2.54000000, 0.40803476, 0.40278962, 0.81082438, 505.87911850, 3.52332121, 65.45082700
2.55000000, 0.42181494, 0.38956977, 0.81138470, 480.31080297, 3.66191120, 65.45082700
2.56000000, 0.43624976, 0.37642471, 0.81267447, 454.88715373, 3.78084981, 65.45082700
2.57000000, 0.43770156, 0.37631928, 0.81402085, 454.68325485, 3.78261545, 65.45082700
2.58000000, 0.41840339, 0.39643562, 0.81483901, 493.58994604, 3.67673064, 65.45082700
2.59000000, 0.38600425, 0.42650665, 0.81251089, 551.74984766, 3.50923646, 65.45082700
2.60000000, 0.37849513, 0.43183997, 0.81033510, 562.06493818, 3.44584923, 65.45082700
2.61000000, 0.40952765, 0.40277212, 0.81229976, 505.84526516, 3.57096147, 65.45082700
2.62000000, 0.43499845, 0.37823813, 0.81323657, 458.39445668, 3.71663978, 65.45082700
2.63000000, 0.43253450, 0.38038540, 0.81291990, 462.54747109, 3.76271409, 65.45082700
2.64000000, 0.41830826, 0.39414492, 0.81245319, 489.15954776, 3.69289945, 65.45082700
2.65000000, 0.41021847, 0.40273632, 0.81295479, 505.77603853, 3.60134882, 65.45082700
2.66000000, 0.40699004, 0.40613714, 0.81312718, 512.35351067, 3.55942775, 65.45082700
2.67000000, 0.40231575, 0.41078899, 0.81310474, 521.35057552, 3.50951579, 65.45082700
2.68000000, 0.39325469, 0.41832006, 0.81157475, 535.91629410, 3.44878387, 65.45082700
2.69000000, 0.39495970, 0.41543411, 0.81039381, 530.33462050, 3.48214420, 65.45082700
2.70000000, 0.41133130, 0.39986394, 0.81119524, 500.22060035, 3.63861014, 65.45082700
2.71000000, 0.42523208, 0.38583571, 0.81106779, 473.08882744, 3.78232694, 65.45082700
2.72000000, 0.43438719, 0.37819788, 0.81258508, 458.31662231, 3.81843079, 65.45082700
2.73000000, 0.42699516, 0.38650775, 0.81350291, 474.38861156, 3.74448234, 65.45082700
2.74000000, 0.40539241, 0.40671114, 0.81210355, 513.46366033, 3.55617655, 65.45082700
2.75000000, 0.39570656, 0.41577542, 0.81148198, 530.99474842, 3.47708741, 65.45082700
2.76000000, 0.40591628, 0.40639060, 0.81230688, 512.84372531, 3.52954187, 65.45082700
2.77000000, 0.41637252, 0.39674549, 0.81311800, 494.18925081, 3.61568976, 65.45082700
2.78000000, 0.41072833, 0.40210739, 0.81283572, 504.55963481, 3.61641993, 65.45082700
2.79000000, 0.39846214, 0.41240013, 0.81086227, 524.46665218, 3.58143896, 65.45082700
2.80000000, 0.40495753, 0.40570005, 0.81065757, 511.50812772, 3.69487094, 65.45082700
2.81000000, 0.42698612, 0.38575742, 0.81274355, 472.93741484, 3.83679405, 65.45082700
2.82000000, 0.43149236, 0.38249202, 0.81398438, 466.62184993, 3.80318277, 65.45082700
