Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,N atom%,Mn atom%,CrH atom%,Ta atom%,P atom%,Al atom%,Zr atom%,WO atom%,Noise reference atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,N atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Ta atom% Sigma,P atom% Sigma,Al atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Noise reference atom% Sigma,H atom% Sigma,O atom% Sigma
-1.6500000655651093,5535,19.945799457994582,48.02168021680217,16.061427280939476,0,13.712737127371275,0.5239385727190605,0,0,0.6142728093947606,0.10840108401084012,0.16260162601626016,0,0.05420054200542006,0.03613369467028004,0,0.03613369467028004,0.05420054200542006,0.03613369467028004,0.03613369467028004,0,0,0.3071364046973803,0.2890695573622403,0.5371047261586469,0.6715386007459685,0.49353055491498765,0,0.462356118533725,0.09703773806907057,0,0,0.10502286055189623,0.04423056451811982,0.05415645859673948,0,0.03128421596180371,0.025545763965363615,0,0.025545763965363615,0.03128421596180371,0.025545763965363615,0.025545763965363615,0,0,0.07437703662415864,0.07216286223563909
-1.3500000536441803,4749,24.699936828806067,37.14466203411245,21.37292061486629,0,14.255632764792589,0.5474836807749,0,0,0.5685407454200885,0.2526847757422615,0.16845651716150767,0,0,0.02105706464518846,0,0.02105706464518846,0.10528532322594232,0.02105706464518846,0.10528532322594232,0,0,0.3790271636133923,0.33691303432301534,0.6258128937312875,0.7011617297560843,0.5948629541971086,0,0.5073351637772111,0.10707606246808495,0,0,0.10910423764984342,0.07285159440243635,0.059508186685370244,0,0,0.02105484752861004,0,0.02105484752861004,0.04706023461365754,0.02105484752861004,0.04706023461365754,0,0,0.08916809167215399,0.08408625087835213
-1.0500000417232513,4322,28.759833410458118,31.07357704766312,25.520592318371126,0,12.494215640906987,0.3933364183248496,0,0,0.5090236001850995,0.23137436372049977,0.23137436372049977,0,0.06941230911614993,0,0,0.02313743637204998,0.13882461823229986,0,0.11568718186024989,0,0,0.25451180009254976,0.18509949097639983,0.6885147760012,0.703956971307477,0.6631642417672101,0,0.5029565847540272,0.09521029148885127,0,0,0.1082476369290905,0.07308230429634781,0.07308230429634781,0,0.04006130437270043,0,0,0.023134759512392494,0.0566355600391187,0,0.05170694542315033,0,0,0.07664047896165371,0.06538195766266107
-0.7500000298023224,4112,32.05252918287938,24.270428015564203,30.714980544747085,0,10.627431906614786,0.316147859922179,0,0,0.5350194552529183,0.19455252918287938,0.26750972762645914,0,0.17023346303501946,0.048638132295719845,0,0.048638132295719845,0.14591439688715954,0.024319066147859923,0.07295719844357977,0,0,0.24319066147859922,0.26750972762645914,0.7277651366891024,0.6685669683885577,0.7193963680682,0,0.480606600767509,0.08754492526920224,0,0,0.11376098282357008,0.06871776257211401,0.08054926246663018,0,0.06428741183860101,0.03438398825417609,0,0.03438398825417609,0.05952582712337592,0.02431610888316268,0.04210648989332272,0,0,0.07681007143873467,0.08054926246663018
-0.45000001788139343,4186,33.922599139990446,18.92021022455805,36.16817964644052,0,8.815097945532727,0.358337314859054,0,0,0.5733397037744864,0.23889154323936934,0.09555661729574773,0,0.047778308647873864,0.023889154323936932,0,0.0716674629718108,0.0716674629718108,0.047778308647873864,0.023889154323936932,0,0,0.3105590062111801,0.3105590062111801,0.7317646470736174,0.6053682976533468,0.7426468246676405,0,0.43820308129862856,0.09235637712302412,0,0,0.11669649786449315,0.07545385080413006,0.0477554755241575,0,0.03377629427494194,0.023886300695028232,0,0.041362399376275415,0.041362399376275415,0.03377629427494194,0.023886300695028232,0,0,0.0859997190586128,0.0859997190586128
-0.15000000596046448,3907,34.655746096749425,15.86895316099309,39.39083695930382,0,7.8320962375223955,0.4863066291272076,0,0,0.6142820578448938,0.2047606859482979,0.28154594317890963,0,0.02559508574353724,0.02559508574353724,0,0.05119017148707448,0.15357051446122344,0,0.05119017148707448,0,0,0.1791656002047607,0.1791656002047607,0.761324178839767,0.5845619996407454,0.7817088739734355,0,0.4298403261488253,0.11129478421238533,0,0,0.12500408320732986,0.07231967974134637,0.08476971047260351,0,0.025591809991844867,0.025591809991844867,0,0.03618765157062167,0.06264674105763339,0,0.03618765157062167,0,0,0.06765754057809722,0.06765754057809722
0.15000000596046448,4100,35.75609756097561,12.853658536585366,43.21951219512195,0,5.8048780487804885,0.4878048780487805,0,0,0.5609756097560975,0.0975609756097561,0.21951219512195125,0,0.14634146341463414,0.024390243902439025,0,0,0.14634146341463414,0.04878048780487805,0.024390243902439025,0,0,0.3170731707317073,0.2926829268292683,0.7485125482936557,0.5226922136549043,0.7736554008726934,0,0.36518995916152847,0.10881012126280713,0,0,0.11664294835184781,0.04875668663839409,0.07309037824700132,0,0.05969992139053753,0.024387269301061727,0,0,0.05969992139053753,0.03448459976002481,0.024387269301061727,0,0,0.0878007468127204,0.08436654837493279
0.45000001788139343,4383,37.46292493725758,10.723248916267398,45.767738991558296,0,4.312114989733059,0.296600501939311,0,0,0.4563084645220169,0.22815423226100845,0,0,0,0,0,0.06844626967830253,0.06844626967830253,0.022815423226100844,0.022815423226100844,0,0,0.31941592516541184,0.25096965548710926,0.7311119595780753,0.4673547348266022,0.7525283213671093,0,0.30682299800997886,0.08214009270236826,0,0,0.10180061421870815,0.07206635101597048,0,0,0,0,0,0.03950394579100865,0.03950394579100865,0.022812820359943715,0.022812820359943715,0,0,0.08523104911029598,0.0755751840044822
0.7500000298023224,4551,38.321248077345636,9.11887497253351,47.72577455504285,0,3.3618984838497035,0.15381234893430015,0,0,0.4174906613931004,0.08789277081960009,0.08789277081960009,0,0.043946385409800046,0.021973192704900023,0,0,0.06591957811470006,0.021973192704900023,0.13183915622940012,0,0,0.21973192704900021,0.21973192704900021,0.720666265853328,0.4267308690045036,0.7404007980955929,0,0.26718561635286864,0.05809087633312076,0,0,0.09557878331758642,0.04392706831637894,0.04392706831637894,0,0.031067958258704856,0.02197077846628318,0,0,0.03804614003877927,0.02197077846628318,0.053787618477876345,0,0,0.06940895369654274,0.06940895369654274
1.0500000417232513,4755,40.31545741324921,6.8349106203995795,48.43322818086225,0,2.6919032597266033,0.29442691903259727,0,0,0.5467928496319664,0.2103049421661409,0.14721345951629863,0,0.06309148264984228,0.021030494216614088,0,0,0.10515247108307045,0,0.021030494216614088,0,0,0.1682439537329127,0.14721345951629863,0.7113633235584944,0.3659466380833728,0.7247386455304357,0,0.23470857282221844,0.07857297798294292,0,0,0.1069413221408744,0.06643429436285091,0.05560048670434139,0,0.03641439186315864,0.021028282691899356,0,0,0.04700088386786016,0,0.021028282691899356,0,0,0.05943316076388343,0.05560048670434139
1.3500000536441803,5032,41.33545310015898,5.524642289348171,48.946740858505564,0,2.364864864864865,0.27821939586645467,0,0,0.3577106518282989,0.13910969793322733,0.17885532591414946,0,0.05961844197138314,0.01987281399046105,0,0.0397456279809221,0.0397456279809221,0.0794912559618442,0.05961844197138314,0,0,0.29809220985691576,0.27821939586645467,0.6941908665956332,0.3220631512486371,0.7046984388671682,0,0.21420811234163809,0.07425375105534256,0,0,0.08416227544091462,0.05254194002980212,0.05956510273134501,0,0.034410461441553956,0.019870839248667487,0,0.02809881737701087,0.02809881737701087,0.03972982769089963,0.034410461441553956,0,0,0.07685227557820866,0.07425375105534256
1.6500000655651093,5230,41.07074569789675,4.818355640535373,50.458891013384324,0,1.835564053537285,0.3632887189292543,0,0,0.4397705544933079,0.15296367112810708,0.13384321223709367,0,0.03824091778202677,0,0,0.05736137667304016,0.019120458891013385,0.05736137667304016,0.11472275334608031,0,0,0.21032504780114722,0.22944550669216063,0.6802693788794176,0.29612507465972737,0.6913546182886403,0,0.18561412200216054,0.08319262037018763,0,0,0.09149664582211836,0.05403944672830119,0.05055411355538187,0,0.027035241537171545,0,0,0.033108106543342425,0.019118630843885445,0.033108106543342425,0.04680849480942169,0,0,0.06334866363542561,0.06615918202985459
1.9500000774860382,5371,42.50605101470862,3.6864643455594863,50.512008936883255,0,1.917706199962763,0.14894805436603983,0,0,0.26065909514056973,0.14894805436603983,0.0930925339787749,0,0.01861850679575498,0.01861850679575498,0,0.07447402718301992,0.03723701359150996,0.03723701359150996,0.05585552038726494,0,0,0.27927760193632467,0.20480357475330477,0.6745418090325523,0.25711126538905005,0.6822124748870815,0,0.18713661388404454,0.052621856194359884,0,0,0.06957322136904316,0.052621856194359884,0.041612864066056514,0,0.018616773471094913,0.018616773471094913,0,0.03722314505710287,0.026325642010957773,0.026325642010957773,0.03223919227346002,0,0,0.07200840397421429,0.0616873350694329
