Particle 1 x (Å), Particle 1 y (Å), Particle 1 z (Å), Particle 2 x (Å), Particle 2 y (Å), Particle 2 z (Å), Particle 3 x (Å), Particle 3 y (Å), Particle 3 z (Å)
4.22863206, 10.07580802, 1.79928009, 4.22065376, 0.05455633, 12.19670322, 12.29624975, 4.02354334, -0.17605986
4.15283712, 10.06022526, 1.84155300, 4.19535715, 0.08606965, 12.15703790, 12.28389306, 4.04303058, -0.23091741
4.05541997, 10.05407290, 1.91606526, 4.14742355, 0.10841118, 12.12465354, 12.27996559, 4.07496739, -0.27999968
3.95800750, 10.05620501, 2.00042924, 4.08538097, 0.11159101, 12.10805827, 12.28250401, 4.11717951, -0.31483229
3.88292763, 10.06420836, 2.07306731, 4.01759963, 0.08768061, 12.11611099, 12.28761049, 4.16560561, -0.32637052
3.84523511, 10.07631497, 2.11782491, 3.95149539, 0.03477219, 12.15519646, 12.29102756, 4.20922912, -0.30994875
3.84590465, 10.09562564, 2.13006391, 3.89603665, -0.03800869, 12.22784987, 12.29000021, 4.23443874, -0.26838219
3.87253518, 10.12813853, 2.12002942, 3.86312850, -0.11030730, 12.32956535, 12.28406958, 4.23174599, -0.20949205
3.91006776, 10.17691771, 2.10197429, 3.86270264, -0.15981938, 12.44088235, 12.27582231, 4.19870569, -0.14308718
3.94711887, 10.23948213, 2.08542007, 3.89591113, -0.17198300, 12.53149199, 12.27012520, 4.13839582, -0.07922439
3.97742760, 10.30722068, 2.07439059, 3.95165655, -0.14795916, 12.58269431, 12.27274158, 4.05639811, -0.02642223
4.00215826, 10.36753395, 2.06829708, 4.00801131, -0.10326728, 12.59192162, 12.28403023, 3.96283764, 0.01180922
4.02723584, 10.40410484, 2.06221138, 4.03879813, -0.05526461, 12.55761604, 12.29458778, 3.87407790, 0.03621313
4.05801089, 10.40159925, 2.04817019, 4.03165460, -0.01381123, 12.47888324, 12.28731253, 3.81174442, 0.05116790
4.09473156, 10.35355486, 2.02046699, 3.99626551, 0.01729589, 12.36672802, 12.24658961, 3.79171690, 0.06096816
4.13258645, 10.26762189, 1.98101854, 3.95181156, 0.03700100, 12.24096574, 12.17411259, 3.81040552, 0.06745850
4.16787647, 10.16345243, 1.93903009, 3.91915927, 0.04443357, 12.12110620, 12.08813488, 3.85281913, 0.07229243
4.20051940, 10.06192689, 1.90292417, 3.91766209, 0.03994295, 12.02460307, 12.01022068, 3.90942884, 0.07794240
4.23169186, 9.97602798, 1.87850310, 3.95773088, 0.02874459, 11.96379801, 11.95553992, 3.98126500, 0.08497175
4.25937398, 9.90984139, 1.87147886, 4.03171694, 0.02012592, 11.93965694, 11.92998565, 4.06936303, 0.09209560
4.27830492, 9.86353904, 1.88572603, 4.11824276, 0.01938365, 11.94628360, 11.93126627, 4.16634091, 0.09618788
4.28503376, 9.83855700, 1.92154142, 4.19402596, 0.02410771, 11.97597090, 11.95526233, 4.25976782, 0.09342633
4.27643406, 9.83915187, 1.97701117, 4.23973027, 0.02747529, 12.02403852, 11.99713349, 4.34242819, 0.08170276
4.25006220, 9.86925613, 2.04599861, 4.24471777, 0.02487166, 12.09071185, 12.04977438, 4.41358058, 0.06270223
4.20883214, 9.92986487, 2.11622416, 4.21221664, 0.01666417, 12.17735049, 12.10612988, 4.47362628, 0.04115033
4.16299784, 10.01890803, 2.17061516, 4.15752489, 0.00848353, 12.28068489, 12.16017945, 4.51996038, 0.02289717
4.12405732, 10.12764615, 2.19381945, 4.09985194, 0.00923048, 12.38332528, 12.20944684, 4.54554079, 0.01346260
4.09420200, 10.24215240, 2.17976850, 4.05677510, 0.02919011, 12.45784095, 12.25531376, 4.54006223, 0.01484904
4.06878323, 10.34554285, 2.13133163, 4.04442536, 0.06955698, 12.48583760, 12.29782083, 4.49586117, 0.02442451
4.04676030, 10.42511417, 2.05924979, 4.07004904, 0.11556485, 12.46796139, 12.33171592, 4.41570495, 0.03558977
4.03377538, 10.47732980, 1.97959694, 4.12004131, 0.14408160, 12.41312390, 12.35111966, 4.31241266, 0.04173620
4.03331861, 10.49951059, 1.91261593, 4.16742777, 0.13745381, 12.32712467, 12.34976144, 4.20439040, 0.04074195
4.04432368, 10.48732707, 1.87529800, 4.19282407, 0.09533215, 12.21951657, 12.32314323, 4.10683507, 0.03467830
4.06391801, 10.43909496, 1.87350045, 4.19253261, 0.03240750, 12.11083345, 12.27370689, 4.03044246, 0.02551711
4.08869832, 10.36208980, 1.90176400, 4.16963818, -0.03796345, 12.02628989, 12.21375907, 3.97863170, 0.01451800
4.11244144, 10.27061819, 1.94826587, 4.12800440, -0.10685067, 11.98589660, 12.16189157, 3.95048224, 0.00345676
4.12496042, 10.18173344, 1.99806975, 4.07780542, -0.16148058, 12.00060801, 12.13510511, 3.94433565, -0.00539460
4.11978625, 10.11679680, 2.03141650, 4.02959565, -0.19254167, 12.06913250, 12.14434206, 3.95897025, -0.00837806
4.09830676, 10.09988112, 2.02629110, 3.99002877, -0.20094769, 12.17830233, 12.18988095, 3.99055115, -0.00298292
4.06635655, 10.14139998, 1.97931387, 3.96142989, -0.19555704, 12.30718032, 12.26241345, 4.03267449, 0.00944366
4.03155096, 10.22622050, 1.92044408, 3.94386244, -0.18054630, 12.43019467, 12.34663329, 4.07962621, 0.02328022
4.00157892, 10.33387594, 1.88818635, 3.93513221, -0.14932385, 12.51691628, 12.42405465, 4.12825047, 0.03027012
3.97903725, 10.45064112, 1.89697825, 3.92968843, -0.09038042, 12.54290882, 12.47970895, 4.17754416, 0.02277271
3.96421457, 10.56022273, 1.93553864, 3.92408906, -0.00313724, 12.50696449, 12.50787517, 4.22513421, -0.00202024
3.95989949, 10.64441402, 1.98959407, 3.92167522, 0.10044800, 12.42869477, 12.51167054, 4.26587626, -0.03935682
3.96884956, 10.69071403, 2.05007131, 3.92689977, 0.20567251, 12.33569335, 12.49954829, 4.29418060, -0.08100525
3.99127068, 10.69595211, 2.11207320, 3.94019654, 0.29897704, 12.25291225, 12.48063243, 4.30675879, -0.12060630
4.02562568, 10.66400499, 2.17242039, 3.95950761, 0.36649157, 12.19879563, 12.45990924, 4.30201655, -0.15313458
4.07077243, 10.60217028, 2.22883675, 3.98074035, 0.39888102, 12.17858959, 12.43826079, 4.27881514, -0.17334390
4.12319089, 10.52110808, 2.27795751, 4.00464938, 0.39486791, 12.18118750, 12.41538195, 4.23665993, -0.17531746
4.17466891, 10.43086898, 2.31466597, 4.03723559, 0.35464829, 12.19176151, 12.39214273, 4.17621456, -0.15351775
4.21487778, 10.33793932, 2.33310535, 4.08359358, 0.27789973, 12.20073690, 12.36993444, 4.10367786, -0.10415794
4.23283063, 10.25021137, 2.32638157, 4.13980139, 0.16736764, 12.20571514, 12.34978753, 4.03188604, -0.02961604
4.22239354, 10.17649840, 2.29151759, 4.18894523, 0.03369903, 12.20956423, 12.33118621, 3.97648747, 0.06025419
4.18453882, 10.12205774, 2.23203528, 4.21096711, -0.10390367, 12.21603437, 12.31012275, 3.95045474, 0.14913261
4.12654728, 10.08645383, 2.15489099, 4.19568449, -0.22839669, 12.23047402, 12.27910413, 3.95717118, 0.22098192
4.05949071, 10.06647938, 2.07001677, 4.15016723, -0.32700064, 12.25947774, 12.23252289, 3.98644408, 0.26777865
3.99493512, 10.05983502, 1.99002954, 4.09375289, -0.39351815, 12.30685802, 12.17187394, 4.02120815, 0.28987799
3.94380159, 10.06750223, 1.92476847, 4.04457165, -0.42443338, 12.36726001, 12.10491689, 4.04831731, 0.29164630
3.91169802, 10.09194304, 1.87961742, 4.01210347, -0.42082366, 12.42543435, 12.04072037, 4.06334218, 0.27941304
3.89676914, 10.13181698, 1.85433112, 3.99789639, -0.38913988, 12.46482733, 11.98923574, 4.06893887, 0.26139373
3.89140326, 10.17931638, 1.84446762, 3.99816645, -0.34130306, 12.47819043, 11.95933491, 4.06969907, 0.24653444
3.88793105, 10.22461820, 1.84543055, 4.00434339, -0.29076146, 12.46641286, 11.95608856, 4.06852931, 0.24073388
3.88426120, 10.26189356, 1.85616028, 4.00611389, -0.24610045, 12.43322350, 11.97900788, 4.06541394, 0.24323299
3.88495156, 10.29066290, 1.87921456, 3.99492246, -0.20693224, 12.38440624, 12.02267101, 4.05876804, 0.24740851
3.89717146, 10.31215582, 1.91835369, 3.96648507, -0.16705402, 12.32782919, 12.07880176, 4.04681204, 0.24364751
3.92545987, 10.32645308, 1.97385264, 3.92383093, -0.12030393, 12.27415094, 12.13516274, 4.02824256, 0.22059590
3.96973654, 10.33174082, 2.03953014, 3.87905121, -0.06381218, 12.23468485, 12.17652320, 4.00395302, 0.16741024
4.02565346, 10.32250625, 2.10371976, 3.85109000, -0.00148309, 12.21655057, 12.19346461, 3.97785896, 0.07994867
4.08472307, 10.29090438, 2.15241446, 3.85989573, 0.05364203, 12.22018829, 12.18896315, 3.95618912, -0.03348913
4.13713098, 10.23339402, 2.17469405, 3.91311445, 0.08329278, 12.23647430, 12.17425283, 3.94424280, -0.15528733
4.17812476, 10.15747750, 2.17052420, 3.99758822, 0.07637028, 12.25148257, 12.16049514, 3.94769180, -0.26191546
4.20890172, 10.07755872, 2.14866819, 4.08922669, 0.03747206, 12.25827730, 12.15377903, 3.97464776, -0.32627540
4.23100044, 10.00701874, 2.11837390, 4.17182846, -0.01772660, 12.26010969, 12.15690205, 4.03070369, -0.32700938
