Distance (nm),Atom Count,C atom%,Co atom%,W atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,P atom%,Al atom%,N atom%,Mn atom%,Ta atom%,WC atom%,CrH atom%,Zr atom%,WO atom%,Noise reference atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,P atom% Sigma,Al atom% Sigma,N atom% Sigma,Mn atom% Sigma,Ta atom% Sigma,WC atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Noise reference atom% Sigma,H atom% Sigma,O atom% Sigma
-4.050000160932541,98060,0.9127065062206813,95.3355088721191,1.8906791760146848,0.10401794819498267,0.2590250866816235,0,0,0.04487048745665919,0.022435243728329595,0.041811136039159695,0,0.053028757903324494,0.0030593514174994904,0.004079135223332654,0.007138486640832144,0,0,0,0.004079135223332654,0,0,1.2951254334081175,0.022435243728329595,0.03036886855306359,0.06734161627660382,0.04349287439263399,0.01029395362310773,0.016231616524590067,0,0,0.006762962704490873,0.0047826734419798,0.006528437169068728,0,0.007351815539801261,0.0017662903453046763,0.002039526012881679,0.002697998038014795,0,0,0,0.002039526012881679,0,0,0.03610599120623354,0.0047826734419798
-3.750000149011612,70231,1.4082100496931556,94.07668978086599,2.7452264669447963,0.1238769204482351,0.26341644003360337,0,0,0.04841167006022981,0.02990132562543606,0.03132519827426635,0,0.05268328800672068,0.0014238726488302886,0.014238726488302888,0.011390981190642309,0.0014238726488302886,0,0,0.004271617946490866,0,0,1.153336845552534,0.03417294357192693,0.04446206909336416,0.08907561447001652,0.06165667861052078,0.013272771322991034,0.019341237403989225,0,0,0.008300522979002585,0.006524028588931517,0.006677508594871428,0,0.008658797425005018,0.0014238625117276031,0.00450236009471649,0.004027090639970285,0.0014238625117276031,0,0,0.0024661670969760457,0,0,0.04028975845492712,0.006974330924085216
-3.450000137090683,39187,2.85809069334218,90.21103937530303,5.080766580753822,0.14545640135759308,0.29856840278663843,0,0,0.0484854671191977,0.040829867047745425,0.05358920050016588,0,0.13269706790517263,0.007655600071452267,0.020414933523872712,0.010207466761936356,0,0,0,0.005103733380968178,0,0,1.0386097430270242,0.0484854671191977,0.08417251661448244,0.1501160490818588,0.11093554573631137,0.01925215397549412,0.027561421390278923,0,0,0.01112063209524624,0.010205382701630954,0.011690988459361465,0,0.01838955904213093,0.004419793571486699,0.007217032177127655,0.005103472893376472,0,0,0,0.0036087923879546363,0,0,0.05121392741633234,0.01112063209524624
-3.150000125169754,21166,5.641122555041104,82.63724841727299,9.60975148823585,0.19370688840593403,0.30237172824340924,0,0,0.10394028158367191,0.14646130586790135,0.07086837380704905,0,0.22677879618255692,0.009449116507606539,0.037796466030426155,0.004724558253803269,0.023622791269016348,0,0,0.014173674761409807,0,0,0.8976660682226212,0.08031749031465558,0.15858231535340825,0.2603621228701966,0.2025804225692379,0.030222619223783286,0.03773927985521667,0,0,0.022148622840422263,0.026285956527537468,0.018291650490509563,0,0.0326955632780282,0.006681218678309875,0.013360543094964875,0.004724446645231533,0.010563185538433715,0,0,0.008182594990054914,0,0,0.06483058641494896,0.019472028278992633
-2.850000113248825,15449,9.120331413036443,74.39316460612338,14.512266166094893,0.0970936630202602,0.3301184542688847,0,0,0.14240403909638163,0.18124150430448574,0.07767493041620817,0,0.29775389992879797,0.012945821736034695,0.07120201954819082,0.006472910868017347,0.012945821736034695,0,0,0.019418732604052042,0,0,0.6343452650657001,0.09062075215224287,0.2316266311404645,0.35115130363022234,0.2833800896059116,0.025057302601429604,0.04614946661681734,0,0,0.03033901805471813,0.034220371855516636,0.022414110845511225,0,0.043836009642070496,0.009153485783072372,0.021460572387759426,0.00647270137175164,0.009153485783072372,0,0,0.011210321886506981,0,0,0.06387498540776891,0.024208438368047168
-2.550000101327896,13508,11.141545750666273,69.10719573586023,17.55256144506959,0.24429967426710095,0.3405389398874741,0,0,0.18507551080840984,0.18507551080840984,0.06662718389102754,0,0.39236008291382884,0.02220906129700918,0.014806040864672786,0,0.014806040864672786,0,0,0.029612081729345572,0,0,0.5552265324252295,0.14806040864672787,0.27072388584756735,0.39755276244470394,0.3273130408521414,0.04247513608059866,0.05012416269970444,0,0,0.03698083335384509,0.03698083335384509,0.022201661428167332,0,0.05378896749921154,0.012820983571038686,0.010468676813581214,0,0.010468676813581214,0,0,0.01480384851389973,0,0,0.063933806328618,0.0330827953600519
-2.250000089406967,12244,13.71283894152238,62.96145050637046,21.28389415223783,0.2613524991832734,0.3021888271806599,0,0,0.11434171839268213,0.1306762495916367,0.049003593596863765,0,0.3920287487749101,0.03266906239790918,0.03266906239790918,0.024501796798431882,0.008167265599477294,0,0,0.008167265599477294,0,0,0.4818686703691604,0.20418163998693234,0.3108673545314307,0.4364180326027987,0.3699096705983312,0.04614061783968015,0.04960441736429387,0,0,0.030541633757482894,0.032647710067263434,0.020000730972228747,0,0.05647345328536183,0.016331862811907634,0.016331862811907634,0.014144385844372154,0.008166932071530266,0,0,0.008166932071530266,0,0,0.06258262726455532,0.04079461655262114
-1.9500000774860382,11685,16.516902011125374,57.15019255455712,24.16773641420625,0.23962344886606762,0.3252032520325203,0,0,0.17115960633290545,0.25673940949935814,0.11125374411638854,0,0.3252032520325203,0.01711596063329054,0.025673940949935817,0.04278990158322636,0.025673940949935817,0,0,0.04278990158322636,0,0,0.3423192126658109,0.23962344886606762,0.3435177766971094,0.4577927683778022,0.3960323286158137,0.04523028651344332,0.052669083467283294,0,0,0.038239683960415084,0.04681377798930184,0.03083906771002814,0,0.052669083467283294,0.012101776029743836,0.014820953790716499,0.01913213111397568,0.014820953790716499,0,0,0.01913213111397568,0,0,0.05403269966942417,0.04523028651344332
-1.6500000655651093,10815,18.502080443828017,52.23300970873787,27.073509015256587,0.28663892741562647,0.36061026352288483,0,0,0.2034211742949607,0.29588534442903375,0.11095700416088765,0,0.34211742949607027,0.027739251040221912,0.03698566805362922,0.04623208506703652,0.009246417013407305,0,0,0.01849283402681461,0,0,0.27739251040221913,0.1756819232547388,0.3733965334730643,0.480311740697191,0.4272692820709573,0.05140803464050101,0.05763964657382034,0,0,0.04332540621189017,0.05222819369753831,0.03201275312116,0,0.05614746666875298,0.016013042643978823,0.01848941386143918,0.020670837053341776,0.009245989522387246,0,0,0.013075199188567754,0,0,0.050574420645370294,0.04026877819364533
-1.3500000536441803,10289,20.449023228690834,45.91311108951307,31.635727475945185,0.33044999514044127,0.30129264262804933,0,0,0.20410146758674313,0.31101176013218,0.08747205753717563,0,0.31101176013218,0.01943823500826125,0.04859558752065313,0.01943823500826125,0,0,0,0.01943823500826125,0,0,0.23325882009913498,0.11662941004956749,0.3976238799590011,0.4912785221822742,0.458476339052426,0.05657799331806751,0.05403217419839417,0,0,0.04449311647552092,0.054894068015609046,0.02914459745442076,0,0.054894068015609046,0.013743571839976097,0.021727326234730598,0.013743571839976097,0,0,0,0.013743571839976097,0,0,0.04755819320539984,0.03364837151475722
-1.0500000417232513,9549,24.0862917582993,38.936014242329044,34.9146507487695,0.38747512828568437,0.2932244214053828,0,0,0.19897371452508114,0.38747512828568437,0.10472300764477954,0,0.21991831605403708,0.010472300764477957,0.08377840611582366,0.04188920305791183,0.020944601528955914,0,0,0.031416902293433864,0,0,0.15708451146716934,0.12566760917373546,0.43758872955856093,0.49898716341265514,0.4878277755817192,0.06357698708320085,0.05533290331681486,0,0,0.04560226466312981,0.06357698708320085,0.03309897801129147,0,0.04793731238721659,0.0104717524047046,0.029607729300531457,0.020940214306132552,0.014808518734106229,0,0,0.018135707486029204,0,0,0.04052717794726471,0.03625431253575733
-0.7500000298023224,9085,27.528893780957624,31.77765547605944,38.64611997798569,0.26417171161254815,0.26417171161254815,0,0,0.17611447440836545,0.3082003302146395,0.1100715465052284,0,0.27517886626307103,0.04402861860209136,0.03302146395156852,0.02201430930104568,0.0550357732526142,0,0,0.01100715465052284,0,0,0.24215740231150248,0.24215740231150248,0.46861302926130044,0.48849686444936824,0.5108712930766279,0.05385255198005787,0.05385255198005787,0,0,0.0439898311318582,0.05815456373497469,0.03478851730352304,0,0.054959997678673225,0.022009462469348665,0.019061803078593665,0.015564753870458197,0.024605972197734784,0,0,0.011006548846584434,0,0,0.05156558308295665,0.05156558308295665
-0.45000001788139343,8812,29.720835224693598,26.838402178847026,41.364049024058104,0.35179300953245574,0.28370403994552884,0,0,0.20426690876078077,0.3177485247389923,0.13617793917385385,0,0.147526100771675,0.03404448479346346,0.04539264639128461,0.022696323195642305,0.07943713118474807,0,0,0.03404448479346346,0,0,0.23831139355424422,0.18157058556513844,0.4868627597194418,0.47204420988280454,0.5246337968798273,0.06307265355791866,0.05666026283878718,0,0,0.048096973633284044,0.05995334881513712,0.039284409220357724,0,0.04088618621479563,0.019652246352519706,0.02269117138007358,0.01604690270115172,0.0300124857900545,0,0,0.019652246352519706,0,0,0.05194180705725374,0.04535141782111462
-0.15000000596046448,8535,33.977738722905684,19.906268306971295,44.12419449326303,0.25776215582893963,0.25776215582893963,0,0,0.210896309314587,0.25776215582893963,0.210896309314587,0,0.1640304628002343,0.04686584651435267,0.1054481546572935,0.04686584651435267,0.023432923257176334,0,0,0.0351493848857645,0,0,0.17574692442882248,0.19917984768599883,0.5126732657309699,0.4322076288331318,0.5374629491892995,0.05488420387740677,0.05488420387740677,0,0,0.04965629220331422,0.05488420387740677,0.04965629220331422,0,0.04380301579805799,0.02342743159474864,0.035130847808856475,0.02342743159474864,0.01656763745607187,0,0,0.02028993999077774,0,0,0.045337768307265755,0.04826007476446047
0.15000000596046448,8101,36.11899765461054,14.8129860511048,46.932477471917046,0.3209480311072707,0.2468831008517467,0,0,0.13578570546846067,0.3209480311072707,0.13578570546846067,0,0.19750648068139737,0.061720775212936674,0.02468831008517467,0,0.012344155042587335,0,0,0.012344155042587335,0,0,0.37032465127762004,0.296259721022096,0.5336842543431669,0.394674155595733,0.5544748225045666,0.06284199896548452,0.05513655190158934,0,0,0.04091312522234628,0.06284199896548452,0.04091312522234628,0,0.049327835057614774,0.02759385028693295,0.017455116391584112,0,0.01234339312825506,0,0,0.01234339312825506,0,0,0.06748641414655958,0.06038411617491058
0.45000001788139343,8030,37.84557907845579,10.909090909090908,49.25280199252802,0.21170610211706103,0.23661270236612705,0,0,0.199252801992528,0.33623910336239105,0.21170610211706103,0,0.14943960149439603,0.062266500622665005,0.062266500622665005,0.03735990037359901,0.049813200498132,0,0,0.062266500622665005,0,0,0.21170610211706103,0.16189290161892902,0.5412349298805286,0.3478990181506294,0.5579094691195018,0.05129189140875955,0.05421841886913482,0,0,0.04976354865374919,0.06460036511739903,0.05129189140875955,0,0.043107251277430016,0.02783775477530204,0.02783775477530204,0.02156571894291445,0.02490039608898742,0,0,0.02783775477530204,0,0,0.05129189140875955,0.04486465164980743
0.7500000298023224,8194,39.943861361972175,7.700756651208201,50.500366121552354,0.2318769831584086,0.2806931901391262,0,0,0.18306077617769098,0.2684891383939468,0.18306077617769098,0,0.1952648279228704,0.0366121552355382,0.0732243104710764,0,0.0122040517451794,0,0,0.0854283622162558,0,0,0.1708567244325116,0.1342445691969734,0.5410728541511198,0.2945220335227485,0.5523320910485823,0.05313451756036961,0.058446375484614274,0,0,0.04722280651302246,0.05716518061104401,0.04722280651302246,0,0.048768523250675315,0.021134167781019755,0.029882752838235566,0,0.012203307028062296,0,0,0.03227509102509069,0,0,0.045624354206118135,0.04044908284581877
1.0500000417232513,8469,40.19364742000236,6.128232376904003,51.54091392136026,0.295194237808478,0.22434762073444328,0,0,0.18892431219742592,0.23615539024678237,0.20073208170976503,0,0.17711654268508678,0.05903884756169559,0.05903884756169559,0.02361553902467824,0.035423308537017355,0,0,0.09446215609871296,0,0,0.27157869878379975,0.27157869878379975,0.5327657546078646,0.26062678331752054,0.5430597317734185,0.05895164352077076,0.05141110703780511,0,0,0.047186441462374315,0.052743561679679175,0.048635793470083656,0,0.04569077788468,0.02639518013535998,0.02639518013535998,0.016696735924375358,0.02044803407185999,0,0,0.03338163788517005,0,0,0.056551126076501375,0.056551126076501375
1.3500000536441803,8615,41.2536273940801,4.480557167730702,52.02553685432385,0.3598374927452118,0.22054556006964599,0,0,0.1625072547881602,0.25536854323853747,0.19733023795705165,0,0.1392919326755659,0.046430644225188625,0.05803830528148578,0.011607661056297156,0.011607661056297156,0,0,0.05803830528148578,0,0,0.4062681369704005,0.3134068485200232,0.53038832741402,0.22288675471053404,0.5382520667327267,0.06451233758677156,0.05054079641718981,0,0,0.043396586398936406,0.0543751945244149,0.04781236853955182,0,0.04018210292937423,0.023209931975044857,0.02594798601673848,0.011606987347770149,0.011606987347770149,0,0,0.02594798601673848,0,0,0.06853221101324272,0.060220586002171464
1.6500000655651093,8804,41.890049977283056,2.8850522489777375,53.21444797819173,0.3407542026351658,0.2158109950022717,0,0,0.19309404815992728,0.24988641526578828,0.10222626079054975,0,0.10222626079054975,0.034075420263516586,0.06815084052703317,0.034075420263516586,0.022716946842344387,0,0,0.045433893684688774,0,0,0.3293957292139936,0.2726033621081327,0.5258243253286609,0.17839384447297388,0.5317783384967413,0.06210683409322958,0.049456984456441345,0,0,0.046786948731689655,0.053209356409382846,0.03405799879605742,0,0.03405799879605742,0.019670100870392667,0.027812981901422194,0.019670100870392667,0.016061482509969624,0,0,0.022711785659307804,0,0,0.061066427077508,0.0555690315454499
