Volume (Å^3), Energy (eV),quadratic fit to left part of parabola (eV)
67.79,-13.42115922,-13.416247140997196
67.795,-13.4210795,-13.41613764727584
67.8,-13.42099962,-13.416027917821811
67.805,-13.42091956,-13.415917952635116
67.81,-13.42083934,-13.415807751715754
67.815,-13.42075895,-13.415697315063731
67.82,-13.42067839,-13.415586642679035
67.825,-13.42059767,-13.415475734561674
67.83,-13.42051677,-13.415364590711647
67.835,-13.42043571,-13.415253211128952
67.84,-13.42035447,-13.41514159581359
67.845,-13.42027307,-13.415029744765562
67.85,-13.42019151,-13.414917657984866
67.855,-13.42010977,-13.414805335471506
67.86,-13.42002786,-13.414692777225476
67.865,-13.41994579,-13.414579983246778
67.87,-13.41986355,-13.414466953535417
67.875,-13.41978115,-13.414353688091385
67.88,-13.41969857,-13.41424018691469
67.885,-13.41961583,-13.414126450005323
67.89,-13.41953292,-13.414012477363297
67.895,-13.41944984,-13.413898268988596
67.9,-13.41936659,-13.413783824881232
67.905,-13.41928318,-13.413669145041201
67.91,-13.4191996,-13.413554229468506
67.915,-13.41911585,-13.41343907816314
67.92,-13.41903193,-13.413323691125107
67.925,-13.41894785,-13.413208068354407
67.93,-13.4188636,-13.413092209851044
67.935,-13.41877918,-13.41297611561501
67.94,-13.41869459,-13.412859785646308
67.945,-13.41860984,-13.412743219944947
67.95,-13.41852492,-13.41262641851091
67.955,-13.41843983,-13.412509381344211
67.96,-13.41835458,-13.412392108444845
67.965,-13.41826916,-13.412274599812807
67.97,-13.41818357,-13.41215685544811
67.975,-13.41809782,-13.412038875350742
67.98,-13.4180119,-13.411920659520707
67.985,-13.41792581,-13.411802207958008
67.99,-13.41783956,-13.411683520662638
67.995,-13.41775313,-13.411564597634605
68.0,-13.41766655,-13.411445438873901
