Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,P atom%,Al atom%,N atom%,Mn atom%,CrH atom%,Zr atom%,WO atom%,Ta atom%,Noise atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,P atom% Sigma,Al atom% Sigma,N atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Ta atom% Sigma,Noise atom% Sigma,H atom% Sigma,O atom% Sigma
10,10466,50.525511179056,0.2961972100133767,47.85018154022549,0,0.22931396904261417,0.07643798968087138,0,0,0.11465698452130708,0.21020447162239633,0.08599273839098032,0,0.02866424613032677,0.047773743550544624,0.05732849226065354,0.02866424613032677,0,0.047773743550544624,0,0.019109497420217846,0,0.1910949742021785,0.1910949742021785,0.4887149794795081,0.05311974456789072,0.48828999997646116,0,0.04675481788232704,0.027014579798178364,0,0,0.03307964005672312,0.04476861680331966,0.02865191889453159,0,0.016546938181960912,0.021359963567751526,0.02339754934412095,0.016546938181960912,0,0.021359963567751526,0,0.013511164068077234,0,0.04268928815348262,0.04268928815348262
10.5,10963,52.20286417951291,0.4560795402718234,46.00930402262154,0,0.1459454528869835,0.11858068047067409,0,0,0.12770227127611056,0.273647724163094,0.12770227127611056,0,0.03648636322174587,0.018243181610872936,0.06385113563805528,0.009121590805436468,0,0.04560795402718234,0,0.027364772416309403,0,0.18243181610872936,0.15506704369241997,0.47707141483660725,0.0643521347943369,0.4760116564853507,0,0.03645972840609894,0.03286885795614021,0,0,0.03410806834646189,0.04989260503114404,0.03410806834646189,0,0.01823985317048565,0.012898700699762048,0.024125754857788593,0.009121174778855082,0,0.020391845360930163,0,0.015796896884732136,0,0.040755767521616346,0.03758011125023563
11,11674,51.71320884015762,1.6532465307520987,45.07452458454686,0,0.19701901661812576,0.08566044200788077,0,0,0.042830221003940384,0.5824910056535891,0.09422648620866883,0,0.07709439780709268,0.017132088401576154,0.05139626520472845,0.017132088401576154,0,0.05139626520472845,0,0.008566044200788077,0,0.1798869282165496,0.15418879561418536,0.46249290197962184,0.11801548065166008,0.4605137960010858,0,0.041040815864293805,0.0270766057862341,0,0,0.01915015478659165,0.07043138132407821,0.028396966357657673,0,0.02568822478211372,0.012113178131105523,0.02097704461845799,0.012113178131105523,0,0.02097704461845799,0,0.008565677307364596,0,0.039219223165574475,0.036314618700025135
11.5,13219,46.28186700960739,4.886905212194568,47.0383538845601,0,0.3025947499810878,0.09077842499432635,0,0,0.08321355624479915,0.7867463499508284,0.06051894999621756,0,0.09834329374385355,0.01512973749905439,0.04538921249716318,0.03025947499810878,0,0.01512973749905439,0,0,0,0.12103789999243512,0.14373250624101672,0.4336771984776728,0.1875157766096789,0.4341177003948575,0,0.04777198868634304,0.026193576894611825,0,0,0.02507938998747094,0.0768427525673625,0.02139020446340782,0,0.02726210704610263,0.010697530637161513,0.018525862604105783,0.015127448236293662,0,0.010697530637161513,0,0,0,0.030241156736877575,0.03295079234246146
12,15803,40.05568562931089,8.511042207175851,49.18686325381257,0,0.1961652850724546,0.06327912421692083,0,0,0.075934949060305,1.2655824843384167,0.08226286148199709,0,0.1961652850724546,0.025311649686768335,0.0379674745301525,0.012655824843384168,0,0.0379674745301525,0,0.012655824843384168,0,0.13288616085553376,0.10757451116876543,0.38979504442223906,0.22197595965244618,0.39768828362373876,0,0.035197751513200516,0.02000428381340357,0,0,0.02191220738761196,0.08892210642906043,0.022806226384358478,0,0.035197751513200516,0.012654223042992562,0.015497213781813941,0.008948453264227062,0,0.015497213781813941,0,0.008948453264227062,0,0.028978864002389356,0.02607661408285994
12.5,17588,36.54196042756425,10.262679099385945,50.8073686604503,0,0.2103707073004321,0.07391403229474641,0,0,0.0966568114623607,1.444166477143507,0.07391403229474641,0,0.10802820104616785,0.034114168751421425,0.06254264271093928,0.01137138958380714,0,0.028428473959517853,0,0.017057084375710713,0,0.11939959062997499,0.10802820104616785,0.3631039878084562,0.22882775297152863,0.37696857684491547,0,0.03454833401468761,0.020492486496355378,0,0,0.02343138795011311,0.08995836821097117,0.020492486496355378,0,0.024769978890610167,0.013924675321876651,0.01885141844293093,0.00804032949863674,0,0.012711792784318639,0,0.009847072336737414,0,0.026039567259085145,0.024769978890610167
13,17013,36.51325457003468,7.846940574854523,53.247516604949155,0,0.28801504731675776,0.06465643919355787,0,0,0.07641215541056838,1.4694645271263151,0.07641215541056838,0,0.06465643919355787,0.023511432434021044,0.04702286486804209,0.005877858108505261,0,0.005877858108505261,0,0.023511432434021044,0,0.135190736495621,0.11167930406159995,0.369127459387098,0.20616484407358274,0.38252653815815346,0,0.04108571212904293,0.019488346624589474,0,0,0.021184820269731647,0.0922517309743126,0.021184820269731647,0,0.019488346624589474,0.011754334167133066,0.016621184052309838,0.005877685359887025,0,0.005877685359887025,0,0.011754334167133066,0,0.028170156156779914,0.02560667883143245
13.5,15663,40.59247909085105,4.698972099853157,52.71659324522761,0,0.14684287812041116,0.03830683777054204,0,0,0.05107578369405605,1.1492051331162612,0.07661367554108409,0,0.06384472961757007,0.025537891847028024,0.03830683777054204,0.025537891847028024,0,0.06384472961757007,0,0.01915341888527102,0,0.1787652429291962,0.11492051331162612,0.3923792462909705,0.1690879861472105,0.39892437588281937,0,0.030596367625596303,0.01563570540007275,0,0,0.01805340427651027,0.08516308546064352,0.022107989357663914,0,0.020183030231641592,0.01276731535960448,0.01563570540007275,0.01276731535960448,0,0.020183030231641592,0,0.011057172483893676,0,0.03375324537267154,0.0270714560052124
14,13081,46.87715006497974,1.9799709502331626,49.45340570292791,0,0.1299594832199373,0.07644675483525724,0,0,0.06115740386820579,0.6727314425502637,0.06880207935173152,0,0.09938078128583441,0.022934026450577173,0.07644675483525724,0.030578701934102896,0,0.05351272838468007,0,0.030578701934102896,0,0.18347221160461738,0.18347221160461738,0.43631566976086644,0.12180534601498874,0.43714305147004723,0,0.03149931634589499,0.02416534439069194,0,0,0.02161579463472829,0.07147178633538977,0.0229261355495291,0,0.027549569739312194,0.013239447914416507,0.02416534439069194,0.015287013145788998,0,0.020220497740828392,0,0.015287013145788998,0,0.03741673640622083,0.03741673640622083
14.5,11734,52.002727117777404,0.8522243054371911,45.7218339867053,0,0.1789671041418101,0.03408897221748764,0,0,0.11931140276120675,0.36645645133799215,0.13635588886995056,0,0.07670018748934719,0.025566729163115733,0.04261121527185956,0.00852224305437191,0,0.04261121527185956,0,0.025566729163115733,0,0.20453383330492586,0.1619226180330663,0.4612095579635006,0.08485851039732957,0.4598872420513825,0,0.039018861488833684,0.017041580716050976,0,0,0.03186828539822824,0.05578159552004484,0.03406572312887187,0,0.025556922417705484,0.014759070896927694,0.01905225429408914,0.008521879903501206,0,0.01905225429408914,0,0.014759070896927694,0,0.04170757530144455,0.03711750888161288
15,10766,52.54504922905443,0.3343860300947427,45.84804012632361,0,0.1486160133754412,0.09288500835965074,0,0,0.13003901170351106,0.2693665242429872,0.0743080066877206,0,0.06501950585175553,0.027865502507895226,0.05573100501579045,0,0,0.06501950585175553,0,0,0,0.1857700167193015,0.15790451421140628,0.481259679490073,0.0556377486438381,0.48022005115357724,0,0.037126384679315866,0.02935917404828707,0,0,0.03473178328270617,0.04995269367156429,0.026262084855510435,0,0.024567072673158493,0.01608591369519324,0.022745746656429592,0,0,0.024567072673158493,0,0,0,0.04150083670958905,0.038267221387584274
15.5,10420,51.99616122840691,0.2591170825335892,46.49712092130518,0,0.15355086372360846,0.11516314779270634,0,0,0.05758157389635317,0.16314779270633398,0.09596928982725528,0,0.028790786948176585,0.009596928982725529,0.07677543186180423,0.019193857965451058,0,0.07677543186180423,0,0.009596928982725529,0,0.22072936660268716,0.22072936660268716,0.4894290751593576,0.049802456782991236,0.48861607203436525,0,0.03835823227376363,0.033225588831959516,0,0,0.023500810113824586,0.039536860602386696,0.030333588178750634,0,0.016619975567091723,0.00959646846644691,0.027133792204369615,0.01357080455651341,0,0.027133792204369615,0,0.00959646846644691,0,0.04597443085473994,0.04597443085473994
16,10227,49.86799647990613,0.26400704018773835,48.47951500928914,0,0.3128972328150973,0.0880023467292461,0,0,0.06844626967830253,0.13689253935660506,0.05866823115283074,0,0.05866823115283074,0.03911215410188716,0.00977803852547179,0.02933411557641537,0,0.05866823115283074,0,0.00977803852547179,0,0.2933411557641537,0.22489488608585118,0.4944181017322213,0.05074106566426061,0.4941911645781053,0,0.05522633465853765,0.02932120538042159,0,0,0.025861403119532757,0.03656101970084214,0.023944178167712517,0,0.023944178167712517,0.019552252275422757,0.009777560463598208,0.016933575320652337,0,0.023944178167712517,0,0.009777560463598208,0,0.053477913333503886,0.04684106480835713
16.5,10256,49.37597503900156,0.27301092043681746,48.97620904836194,0,0.14625585023400936,0.15600624024961,0,0,0.078003120124805,0.13650546021840873,0.14625585023400936,0,0.05850234009360375,0.01950078003120125,0.029251170046801875,0.01950078003120125,0,0.09750390015600624,0,0.009750390015600624,0,0.2827613104524181,0.19500780031201248,0.49368186281648213,0.05152373727921935,0.493616806724195,0,0.03773547267464743,0.038971125754168424,0,0,0.027567509544064728,0.0364577099390345,0.03773547267464743,0,0.023876493111833187,0.013787789238611379,0.016885700726186666,0.013787789238611379,0,0.03081840495477045,0,0.009749914653485644,0,0.052433169229299297,0.0435625323724229
17,10254,48.673688316754436,0.24380729471425786,49.81470645601716,0,0.17554125219426564,0.11702750146284377,0,0,0.058513750731421885,0.17554125219426564,0.1365320850399844,0,0.058513750731421885,0.03900916715428126,0.058513750731421885,0.01950458357714063,0,0.029256875365710942,0,0,0,0.18529354398283598,0.21455041934854693,0.49359471420177814,0.04870198067068021,0.4937650720655538,0,0.041339138474656936,0.03376315628999954,0,0,0.0238811487590941,0.041339138474656936,0.03646481600255729,0,0.0238811487590941,0.019500778918257824,0.0238811487590941,0.013790478227172115,0,0.016888993729870926,0,0,0,0.0424698526616538,0.04569320659962019
17.5,10235,49.066927210552024,0.30288226673180263,49.22325354176844,0,0.15632633121641426,0.08793356130923302,0,0,0.07816316560820713,0.13678553981436248,0.20517830972154372,0,0.08793356130923302,0.048851978505129456,0.048851978505129456,0.019540791402051783,0,0.09770395701025891,0,0.048851978505129456,0,0.20517830972154372,0.18563751831949193,0.4941404952385961,0.05431681566211041,0.4941669194744278,0,0.0390510234540652,0.029298297083450265,0,0,0.02762404997137437,0.03653246202202518,0.04472762144922909,0,0.029298297083450265,0.021841931891103884,0.021841931891103884,0.013816076026978485,0,0.030881606716559155,0,0.021841931891103884,0,0.04472762144922909,0.04254861932796767
18,10331,48.45610299099797,0.22263091665860033,49.820927306165906,0,0.2710289420191656,0.19359210144226116,0,0,0.09679605072113058,0.1355144710095828,0.12583486593746976,0,0.0677572355047914,0.03871842028845223,0.04839802536056529,0.029038815216339175,0,0.05807763043267835,0,0.029038815216339175,0,0.19359210144226116,0.21295131158648728,0.4916903517423096,0.046370051755598045,0.49192176495962786,0,0.05115019848072547,0.04324658800603476,0,0,0.030594780850682873,0.036193217342741724,0.03487834712090177,0,0.02560115008426387,0.0193554619912105,0.02163901660671113,0.016763133344231303,0,0.0237032072081703,0,0.016763133344231303,0,0.04324658800603476,0.04535300500698404
18.5,10544,48.32132018209408,0.2560698027314112,50.03793626707132,0,0.19916540212443096,0.1043247344461305,0,0,0.08535660091047041,0.13277693474962063,0.15174506828528073,0,0.05690440060698027,0.03793626707132018,0.09484066767830046,0.009484066767830045,0,0.028452200303490136,0,0.05690440060698027,0,0.2560698027314112,0.17071320182094082,0.48665635866117707,0.049217519628281005,0.48693072680292193,0,0.04341815219869434,0.0314386789539551,0,0,0.028440054795657033,0.03546256195635616,0.037907472936567106,0,0.02322451356108155,0.01896453529346976,0.02997702714176312,0.009483617019553903,0,0.016424548432824645,0,0.02322451356108155,0,0.049217519628281005,0.0402031275263511
19,10844,48.64441165621542,0.25820730357801547,50.018443378827,0,0.16599040944300997,0.055330136481003316,0,0,0.07377351530800443,0.16599040944300997,0.08299520472150498,0,0.046108447067502764,0.027665068240501658,0.046108447067502764,0.018443378827001106,0,0.027665068240501658,0,0.027665068240501658,0,0.18443378827001106,0.1567687200295094,0.4799716405693652,0.04873355480850313,0.48014810628511184,0,0.039091829918597304,0.02258218365927488,0,0,0.02607325357058009,0.039091829918597304,0.02765358551746846,0,0.020615569992189144,0.015970225050509077,0.020615569992189144,0.013040235540178627,0,0.015970225050509077,0,0.015970225050509077,0,0.04120260039489621,0.03799218450780316
