Time [s],Wavelength [nm],Voltage [V]
3726654196.7812528600,620.1875000000,0.0008190000
3726654197.6632638000,620.4062500000,0.0008210000
3726654198.5474319400,620.5937500000,0.0008210000
3726654199.4333152800,620.8125000000,0.0008108000
3726654200.3175735500,621.0000000000,0.0008128000
3726654201.1996254900,621.1875000000,0.0008128000
3726654202.0830960300,621.4062500000,0.0008108000
3726654202.9628624900,621.5937500000,0.0008169000
3726654203.8478040700,621.8125000000,0.0008374000
3726654204.7269949900,622.0000000000,0.0008231000
3726654205.6145095800,622.1875000000,0.0008149000
3726654206.4971442200,622.4062500000,0.0008190000
3726654207.3786525700,622.5937500000,0.0008108000
3726654208.2653608300,622.8125000000,0.0007985000
3726654209.1480760600,623.0000000000,0.0008026000
3726654210.0263314200,623.1875000000,0.0007985000
3726654210.9083809800,623.4062500000,0.0007945000
3726654211.7880082100,623.5937500000,0.0007965000
3726654212.6733074200,623.8125000000,0.0008047000
3726654213.5559554100,624.0000000000,0.0008006000
3726654214.4384961100,624.1875000000,0.0007985000
3726654215.3273143800,624.4062500000,0.0008026000
3726654216.2141962000,624.5937500000,0.0007924000
3726654217.0942726100,624.8125000000,0.0007904000
3726654217.9812583900,625.0000000000,0.0007863000
3726654218.8588528600,625.1875000000,0.0007965000
3726654219.7403111400,625.4062500000,0.0007904000
3726654220.6202225700,625.5937500000,0.0007924000
3726654221.5048961600,625.8125000000,0.0007985000
3726654222.3864879600,626.0000000000,0.0007924000
3726654223.2675609600,626.1875000000,0.0008128000
3726654224.1531944300,626.4062500000,0.0008231000
3726654225.0368032400,626.5937500000,0.0008537000
3726654225.9172735200,626.8125000000,0.0007945000
3726654226.7990074100,627.0000000000,0.0007883000
3726654227.6832919100,627.1875000000,0.0007904000
3726654228.5667281100,627.4062500000,0.0007904000
3726654229.4434685700,627.5937500000,0.0007863000
3726654230.3231673200,627.8125000000,0.0007822000
3726654231.2054376600,628.0000000000,0.0007781000
3726654232.0871629700,628.1875000000,0.0007781000
3726654232.9752416600,628.4062500000,0.0007802000
3726654233.8532943700,628.5937500000,0.0007781000
3726654234.7360272400,628.8125000000,0.0007883000
3726654235.6089167600,629.0000000000,0.0007802000
3726654236.4931950600,629.1875000000,0.0007883000
3726654237.3761072100,629.4062500000,0.0007883000
3726654238.2569680200,629.5937500000,0.0007904000
3726654239.1467714300,629.8125000000,0.0007904000
3726654240.0273814200,630.0000000000,0.0007781000
3726654242.6214079800,630.1875000000,0.0008006000
